no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,2,Meal Plan 1,0,Room_Type 1,224,2017,10,2,0,65.0,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,5,2018,11,6,0,106.68,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,0,60.0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,0,100.0,0,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,48,2018,4,11,0,94.5,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,0,115.0,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,34,2017,10,15,0,107.55,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,83,2018,12,26,0,105.61,1,Not_Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 1,121,2018,7,6,0,96.9,1,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,44,2018,10,18,0,133.44,3,Not_Canceled
1,0,1,0,Not Selected,0,Room_Type 1,0,2018,9,11,0,85.03,0,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 4,35,2018,4,30,0,140.4,1,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,30,2018,11,26,0,88.0,0,Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,0,90.0,2,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,47,2017,10,20,0,94.5,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,0,115.0,1,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,10,5,0,96.0,0,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,1,2017,8,10,0,96.0,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,0,65.0,0,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,0,72.0,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,0,65.0,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,122,2018,11,25,0,67.0,0,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,2,2018,3,20,0,85.0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,0,105.0,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,130,2018,5,22,0,94.5,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,99,2018,4,28,0,114.3,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,0,65.0,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 4,2,2018,5,19,0,110.0,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,37,2017,11,6,0,37.33,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,0,82.0,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,3,2017,9,19,0,177.5,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,107,2018,11,13,0,87.5,1,Not_Canceled
0,2,0,3,Meal Plan 1,0,Room_Type 2,56,2018,12,7,0,82.44,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2,2018,1,9,0,69.5,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,72,2018,10,7,0,85.5,0,Not_Canceled
2,0,0,1,Not Selected,1,Room_Type 1,23,2018,4,27,0,115.0,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,6,19,0,81.0,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,0,67.0,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,247,2018,11,19,0,63.75,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,186,2018,7,30,0,121.8,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,64,2018,11,1,0,93.6,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,35,2018,6,21,0,102.0,1,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 1,96,2018,4,10,0,121.8,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,41,2018,6,27,0,98.1,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,55,2017,11,18,0,60.0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,0,75.0,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,0,73.0,0,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,0,104.0,0,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,57,2018,11,1,0,79.2,1,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 4,7,2018,12,29,0,125.8,2,Not_Canceled
1,0,2,5,Not Selected,0,Room_Type 1,124,2018,5,30,0,87.95,0,Not_Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,0,106.0,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,6,2018,5,16,0,136.67,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,51,2017,11,11,0,60.0,1,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,13,2018,6,13,0,89.0,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,5,19,0,136.0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,139,2018,7,28,0,94.5,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,117,2018,12,26,0,93.6,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,39,2018,4,20,0,120.6,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,86,2018,4,6,0,99.3,1,Not_Canceled
2,2,0,1,Meal Plan 1,1,Room_Type 6,2,2018,9,2,0,258.0,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,19,2018,5,3,0,120.12,2,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,0,95.0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,9,10,0,0.0,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,86,2018,12,18,0,75.0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,30,2018,10,5,0,157.5,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,179,2018,6,3,0,97.7,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,26,2018,4,15,0,142.0,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,4,6,0,80.0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,74,2018,4,25,0,85.5,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,0,100.0,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,34,2018,11,14,0,88.0,2,Not_Canceled
2,0,1,1,Meal Plan 1,1,Room_Type 1,30,2018,8,29,0,122.85,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,177,2018,6,3,0,100.0,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,34,2017,10,25,0,75.0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,18,2018,3,9,0,116.8,1,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,267,2018,12,31,0,121.5,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,64,2018,6,27,0,111.9,1,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,155,2018,6,28,0,121.55,2,Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,46,2018,3,29,0,75.0,1,Not_Canceled
2,2,0,2,Meal Plan 1,0,Room_Type 6,83,2018,4,1,0,159.3,0,Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,128,2018,10,11,0,132.3,0,Canceled
2,0,2,0,Not Selected,0,Room_Type 1,20,2018,12,25,0,88.0,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,40,2018,3,14,0,98.82,0,Not_Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 4,46,2018,3,4,0,98.3,1,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,10,17,0,150.0,2,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,196,2018,9,4,0,96.05,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,0,130.0,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,17,2018,12,10,1,95.0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 5,146,2018,8,9,0,113.56,0,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,110,2018,5,5,0,101.58,1,Not_Canceled
