Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Female,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_6,B
Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,Cat_6,A
Female,Yes,69,No,,0.0,Low,1.0,Cat_6,A
Male,Yes,59,No,Executive,11.0,High,2.0,Cat_6,B
Female,No,19,No,Marketing,,Low,4.0,Cat_6,A
Male,Yes,47,Yes,Doctor,0.0,High,5.0,Cat_4,C
Male,Yes,61,Yes,Doctor,5.0,Low,3.0,Cat_6,D
Female,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,D
Male,Yes,50,Yes,Artist,2.0,Average,4.0,Cat_6,B
Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,B
Male,No,22,No,Healthcare,0.0,Low,3.0,Cat_6,D
Female,No,22,No,Healthcare,0.0,Low,6.0,Cat_6,D
Male,Yes,50,Yes,Artist,1.0,Average,5.0,Cat_6,A
Male,No,27,No,Healthcare,8.0,Low,3.0,Cat_3,D
Male,No,18,No,Doctor,0.0,Low,3.0,Cat_6,D
Female,Yes,61,Yes,Artist,0.0,Low,1.0,Cat_6,C
Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,D
Male,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,B
Male,Yes,55,Yes,Artist,8.0,Low,1.0,Cat_6,B
Female,Yes,88,Yes,Lawyer,1.0,Average,4.0,Cat_6,C
Male,Yes,63,No,Executive,,High,3.0,Cat_6,A
Male,Yes,69,No,Lawyer,,High,,Cat_6,D
Male,No,42,Yes,Artist,0.0,Low,4.0,Cat_3,A
Male,Yes,79,No,Executive,,High,2.0,Cat_6,B
Female,Yes,35,Yes,Healthcare,9.0,High,3.0,Cat_6,B
Male,Yes,27,No,Executive,5.0,High,4.0,Cat_6,B
Male,Yes,52,Yes,Engineer,,Low,2.0,Cat_6,A
Female,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_4,B
Female,Yes,79,No,Lawyer,1.0,High,2.0,Cat_6,A
Male,Yes,87,Yes,Lawyer,,High,2.0,Cat_6,C
Male,Yes,89,No,Lawyer,1.0,Low,2.0,Cat_6,C
Male,Yes,63,Yes,Artist,9.0,Average,3.0,,A
Male,No,31,No,Artist,1.0,Low,2.0,Cat_6,B
