Location,Rainfall,WindGustDir,WindDir9am,WindDir3pm,WindSpeed9am,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp3pm,RainToday,RainTomorrow
Launceston,0.0,E,E,E,6.0,,,,,10.3,No,No
Launceston,0.0,E,E,NW,4.0,,,,,12.8,No,No
Launceston,0.0,E,E,,4.0,,,,,14.7,No,No
Launceston,0.0,SSE,ENE,S,2.0,,,5.0,7.0,12.6,No,No
Launceston,0.0,N,,W,0.0,,,4.0,8.0,12.6,No,No
Launceston,0.2,SSE,,ESE,0.0,,,8.0,1.0,15.8,No,No
Launceston,,NNW,NW,N,13.0,,,3.0,,12.4,,Yes
Launceston,40.0,NNW,NW,NW,24.0,,,8.0,6.0,13.2,Yes,Yes
Launceston,10.0,NW,NNW,NNW,22.0,,,8.0,5.0,12.1,Yes,Yes
Launceston,29.2,NNW,NNW,NNW,44.0,,,8.0,8.0,10.1,Yes,Yes
Launceston,2.0,SSE,W,SSE,4.0,,,7.0,5.0,6.0,Yes,Yes
Launceston,1.4,NNW,NNW,W,4.0,,,1.0,,12.3,Yes,No
Launceston,0.0,NNW,,NNW,0.0,,,,1.0,10.9,No,No
Launceston,0.4,NNW,NNW,NNW,19.0,,,8.0,8.0,13.4,No,No
Launceston,0.0,N,NW,NNW,13.0,,,7.0,2.0,15.1,No,No
Launceston,0.0,NW,NNW,NNW,20.0,,,1.0,6.0,14.0,No,No
Launceston,0.0,SSW,NW,NNW,6.0,,,,1.0,11.4,No,No
Launceston,0.0,NNW,,NNW,0.0,,,8.0,7.0,13.5,No,No
Launceston,0.0,NNW,NNW,NNW,4.0,,,8.0,8.0,12.9,No,Yes
Launceston,5.4,S,NNW,SW,13.0,,,,,10.6,Yes,No
Launceston,0.2,SSW,,SSW,0.0,,,,5.0,11.4,No,No
Launceston,0.0,N,,NNE,0.0,,,,,13.2,No,No
Launceston,0.0,N,,NNW,0.0,,,,,14.9,No,No
Launceston,0.0,NW,,NNW,0.0,,,,,14.4,No,No
Launceston,0.0,NNW,NNW,NNW,2.0,,,8.0,8.0,12.2,No,No
Launceston,0.0,ESE,E,N,7.0,,,8.0,,13.0,No,No
Launceston,0.0,SSE,ESE,SSW,2.0,,,,,13.7,No,No
Launceston,0.0,SSE,ESE,S,4.0,,,5.0,,13.7,No,No
Launceston,0.0,ESE,ENE,NE,4.0,,,,,13.8,No,No
Launceston,0.0,SSE,ESE,NW,6.0,,,,,15.3,No,No
Launceston,0.0,E,ESE,NW,6.0,,,,,14.6,No,No
Launceston,0.0,N,,NNE,0.0,,,1.0,,16.0,No,No
Launceston,0.2,NNE,ESE,NNW,4.0,,,1.0,1.0,15.8,No,Yes
Launceston,6.2,W,SSE,NW,6.0,,,8.0,8.0,13.4,Yes,Yes
Launceston,3.6,ENE,SSE,NW,6.0,,,,8.0,15.9,Yes,No
Launceston,0.0,NW,,NNW,0.0,,,,,17.9,No,No
Launceston,0.1,,,NNW,0.0,,,6.0,,16.3,No,No
Launceston,0.0,NW,,NW,0.0,,,8.0,,16.4,No,No
Launceston,0.0,NW,ESE,NW,2.0,,,8.0,,17.3,No,No
Launceston,0.0,NW,,NW,0.0,,,8.0,2.0,17.0,No,No
Launceston,0.0,NW,,NW,0.0,,,8.0,8.0,15.7,No,No
Launceston,0.4,SE,NNW,NNW,7.0,,,8.0,8.0,12.3,No,Yes
Launceston,10.4,SE,SSE,E,17.0,,,,8.0,13.7,Yes,No
Launceston,0.0,NW,NNW,S,4.0,,,,,15.4,No,No
Launceston,0.3,SE,E,E,6.0,,,,,15.6,No,No
Launceston,0.0,NNW,SSE,NNW,2.0,,,8.0,,16.3,No,No
Launceston,0.0,NW,ENE,WNW,2.0,,,7.0,,17.2,No,No
Launceston,0.0,NNW,NNE,NW,2.0,,,,,17.6,No,No
Launceston,0.0,N,,N,0.0,,,,1.0,17.9,No,Yes
Launceston,14.6,N,NNW,NNW,33.0,,,8.0,8.0,16.0,Yes,Yes
Launceston,7.8,NNW,NW,NNW,13.0,,,8.0,4.0,15.0,Yes,Yes
Launceston,2.8,NNW,NW,NW,15.0,,,1.0,,13.6,Yes,No
Launceston,0.0,NW,ENE,NNW,2.0,,,7.0,2.0,14.8,No,No
Launceston,0.0,NNW,NNW,NNW,13.0,,,,,15.3,No,No
Launceston,0.0,W,NNW,WSW,13.0,,,8.0,,18.1,No,No
Launceston,0.2,NW,ESE,NNW,6.0,,,,,15.6,No,No
Launceston,0.0,SE,ESE,SSE,6.0,,,8.0,8.0,9.6,No,Yes
Launceston,14.6,SSW,NNW,SSW,9.0,,,1.0,3.0,12.0,Yes,No
Launceston,0.0,SW,WNW,WSW,4.0,,,7.0,2.0,15.7,No,No
Launceston,0.0,W,NNW,WSW,13.0,,,2.0,,15.8,No,No
Launceston,0.0,SSW,NW,NNE,6.0,,,,3.0,19.7,No,No
Launceston,0.0,NW,N,W,4.0,,,,,20.3,No,No
Launceston,0.0,NW,NNW,NW,9.0,,,4.0,,15.3,No,No
Launceston,0.0,NNW,NNW,NNW,9.0,,,,,20.4,No,No
Launceston,0.2,NW,SSE,NW,4.0,,,8.0,8.0,18.5,No,No
Launceston,0.8,NW,ESE,NW,2.0,,,7.0,,20.9,No,No
Launceston,0.0,N,NNW,NNW,6.0,,,,5.0,19.0,No,No
Launceston,0.0,NNW,NNW,NNW,7.0,,,8.0,8.0,15.7,No,No
Launceston,0.0,NNW,N,NNW,26.0,,,6.0,8.0,18.4,No,Yes
Launceston,3.2,NNW,NNW,NNW,15.0,,,4.0,1.0,16.0,Yes,No
Launceston,0.1,NNW,NNW,NNW,30.0,,,8.0,8.0,11.7,No,Yes
Launceston,6.0,WNW,NE,WNW,2.0,,,1.0,8.0,14.9,Yes,No
Launceston,0.0,SW,N,SW,19.0,,,,,20.4,No,No
Launceston,0.0,NW,,NW,0.0,,,,,16.4,No,No
Launceston,0.0,NNW,NNW,NW,19.0,,,7.0,8.0,16.5,No,No
Launceston,0.0,NW,NNW,WSW,17.0,,,,3.0,19.7,No,No
