CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Exited
539.0,38.0,5.0,0.0,2.0,47388.41,0
617.0,61.0,3.0,113858.95,1.0,38129.22,0
555.0,44.0,3.0,105770.7,3.0,60533.96,1
577.0,48.0,6.0,179852.26,1.0,193580.32,0
639.0,37.0,5.0,151242.48,1.0,49637.65,0
647.0,42.0,9.0,0.0,2.0,51362.82,0
491.0,57.0,4.0,112044.72,1.0,41229.73,1
562.0,36.0,6.0,0.0,2.0,32845.32,0
680.0,42.0,0.0,0.0,1.0,136377.21,0
650.0,23.0,4.0,93911.3,2.0,69055.45,0
630.0,35.0,1.0,0.0,2.0,186826.22,0
476.0,34.0,8.0,111905.43,1.0,197221.81,1
850.0,28.0,2.0,0.0,2.0,38773.74,0
430.0,35.0,1.0,118894.22,1.0,2923.61,0
520.0,35.0,4.0,115680.81,1.0,90280.7,0
548.0,32.0,5.0,175214.71,1.0,155165.61,0
667.0,48.0,2.0,0.0,2.0,148608.39,0
554.0,37.0,4.0,58629.97,1.0,182038.6,0
712.0,33.0,6.0,0.0,2.0,190686.16,0
744.0,38.0,6.0,73023.17,2.0,78770.86,0
719.0,54.0,7.0,0.0,2.0,125041.52,0
600.0,32.0,7.0,98877.95,1.0,132973.21,0
606.0,38.0,7.0,128578.52,1.0,193878.51,0
642.0,30.0,8.0,134497.27,1.0,43250.54,0
661.0,41.0,1.0,0.0,2.0,131300.68,0
513.0,30.0,5.0,0.0,2.0,162523.66,0
629.0,45.0,7.0,129818.39,3.0,9217.55,1
826.0,29.0,4.0,129938.07,1.0,190200.53,0
662.0,39.0,5.0,139562.05,2.0,61636.22,0
511.0,46.0,1.0,0.0,1.0,115779.48,1
663.0,46.0,2.0,141726.88,1.0,58257.23,0
543.0,31.0,4.0,138317.94,1.0,61843.73,0
632.0,38.0,4.0,0.0,2.0,192505.62,0
640.0,33.0,1.0,167298.42,1.0,145381.65,0
835.0,32.0,8.0,124993.29,2.0,27548.06,0
514.0,46.0,3.0,106511.85,1.0,55072.32,0
629.0,34.0,6.0,0.0,2.0,190347.72,0
602.0,37.0,3.0,107592.89,2.0,153122.73,0
696.0,42.0,7.0,162318.61,1.0,121061.89,0
728.0,37.0,4.0,0.0,1.0,4539.38,0
766.0,34.0,6.0,106434.94,1.0,137995.66,1
709.0,37.0,8.0,0.0,3.0,71738.56,0
595.0,41.0,9.0,150463.11,2.0,81548.38,0
492.0,48.0,6.0,127253.98,1.0,92144.09,1
837.0,38.0,2.0,0.0,2.0,46395.21,0
753.0,35.0,3.0,0.0,2.0,184843.77,0
690.0,35.0,6.0,112689.95,1.0,176962.31,0
785.0,34.0,9.0,70302.48,1.0,68600.36,0
636.0,34.0,1.0,84055.43,1.0,37490.84,0
827.0,47.0,8.0,143001.5,2.0,108977.5,0
706.0,28.0,3.0,0.0,2.0,181543.67,0
523.0,32.0,4.0,0.0,2.0,167848.02,0
588.0,22.0,9.0,67178.19,1.0,163534.75,1
654.0,24.0,8.0,145081.73,1.0,130075.07,0
703.0,45.0,5.0,0.0,2.0,131906.44,0
790.0,46.0,2.0,131365.37,2.0,180290.68,0
601.0,44.0,1.0,100486.18,2.0,62678.53,0
756.0,32.0,4.0,0.0,2.0,147040.25,0
693.0,68.0,4.0,97705.99,1.0,61569.07,0
470.0,31.0,4.0,55732.92,2.0,103792.53,0
655.0,32.0,9.0,113447.01,1.0,82084.3,0
801.0,32.0,4.0,75170.54,1.0,37898.5,0
577.0,43.0,3.0,127940.47,1.0,125140.72,1
751.0,38.0,7.0,0.0,2.0,90839.61,0
570.0,57.0,5.0,86568.75,1.0,103660.31,0
