Ia,Ib,Ic,Va,Vb,Vc,Output
-12.08348848,-630.964341,645.3371695,-0.411581807,-0.021892243,0.433474051,1
-553.0482075,-303.2145283,-51.9429468,-0.041471413,0.36834751,-0.326876098,1
9.070823006,-60.20592805,47.39343875,0.604675623,-0.309105353,-0.29557027,0
-36.15542518,96.10861077,-63.07978672,-0.601812432,0.189205246,0.412607187,0
-36.42597531,63.18270455,-26.75672923,-0.558875181,0.076710377,0.482164804,0
-71.87059814,69.04445515,-0.402135134,-0.180373988,-0.401061984,0.581435972,0
593.0658731,272.13163,-863.1468979,0.040994586,-0.029632376,-0.01136221,1
804.7280111,-84.12672046,-718.5455553,0.033423217,-0.039200313,0.005777095,1
-777.5967056,750.3033048,13.37243014,-0.000628746,0.156609696,-0.15598095,1
-67.26965972,41.61385091,22.67417448,0.075155787,-0.544566412,0.469410625,0
-637.4529657,-208.8669887,846.521479,-0.031175547,0.029721616,0.001453931,1
-839.563538,232.9950396,-27.94180392,-0.028969595,0.346292884,-0.317323289,1
818.2346849,-698.560047,-117.6086039,0.003927534,-0.038465058,0.034537524,1
521.0983023,341.6520421,53.07412024,0.041858938,-0.364271148,0.322412209,1
-591.642859,-271.1013606,864.7557882,-0.04103441,0.029691057,0.011343353,1
-75.31721453,-740.556275,-57.25695976,-0.036727944,0.263370787,-0.226642843,1
-53.63495434,748.6653137,-692.4648936,0.003580281,-0.01583677,0.012256489,1
-758.5829163,-69.22951206,23.58192844,0.241232207,-0.104940245,-0.136291963,1
-70.14647749,51.58396435,15.46134835,-0.010698456,-0.506676932,0.517375389,0
16.91314005,-26.96341947,6.608206928,0.578302208,-0.166602628,-0.411699581,0
160.3600192,668.7147966,57.71279375,0.040488902,-0.285132983,0.244644081,1
52.426091,-111.6452532,61.81996616,0.44684064,0.042259442,-0.489100083,1
-881.980165,486.1048996,395.8730724,-0.017420113,0.042184701,-0.024764588,1
-38.92811194,-12.24608453,53.37959677,0.429178225,-0.573088242,0.143910017,0
24.26341102,-63.28060574,35.42122706,0.58745915,-0.16979154,-0.41766761,0
-35.10420412,73.40502038,-35.41772297,-0.594214311,0.173044083,0.421170228,0
-67.17755766,63.94590242,5.541615801,-0.289377897,-0.314598013,0.60397591,0
772.9855845,23.57399377,25.20347647,0.1273342,-0.453990344,0.326656144,1
-68.65908551,66.36204579,4.128561881,-0.213809714,-0.377395653,0.591205367,0
-20.34943506,61.3368585,-44.65739976,-0.606302263,0.275772722,0.330529541,0
-69.56780846,49.76151515,16.33592248,0.044721052,-0.530318323,0.485597272,0
32.73365907,52.67349228,-88.32276248,-0.385571109,0.618085091,-0.232513982,0
-63.79152244,12.2647118,47.76013765,0.067660367,-0.555773597,0.48811323,0
879.148308,53.54485551,0.533828773,-0.068157803,-0.195531435,0.263689239,1
46.44793484,-144.4694871,100.8507228,0.493587955,0.017650877,-0.511238832,1
54.35016407,10.7735794,-68.05142806,-0.005239498,0.539321038,-0.53408154,0
-145.0614903,38.29316508,-49.50471856,-0.363244903,0.595329362,-0.232084459,1
-63.42164242,30.89608182,32.52556061,-0.12052598,-0.453990846,0.574516826,0
-768.2309182,239.443298,530.9710315,-0.05730647,0.045165778,0.012140693,1
54.28912435,6.742706148,-64.44933789,0.087385158,0.48759044,-0.574975598,0
-816.0390301,693.3195828,7.123612278,-0.005274949,0.193241685,-0.187966735,1
-54.44928204,19.64733639,31.46419663,0.304538318,-0.584917571,0.280379253,0
331.4721473,-892.3809793,-47.19207199,-0.026830281,0.108504144,-0.081673863,1
34.58714742,51.33645725,-83.99519409,-0.384658338,0.616329744,-0.231671406,0
