Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,ReachedOnTime
5,4,267,5,9,1113,No
3,3,181,2,65,3234,Yes
4,3,198,3,1,5846,Yes
3,1,142,2,18,1428,Yes
3,1,163,4,20,1940,Yes
7,1,264,4,2,1540,No
4,5,242,2,2,4806,Yes
4,3,236,3,4,4257,Yes
6,5,225,6,55,2052,Yes
5,1,139,3,1,5953,Yes
3,5,234,2,8,5241,Yes
4,4,212,2,6,4117,Yes
3,2,254,2,10,5608,No
3,5,146,3,30,1569,Yes
4,2,156,3,3,5923,No
6,1,136,3,12,1592,Yes
4,4,162,10,12,1583,Yes
5,3,218,5,6,1278,Yes
5,4,241,4,6,4412,Yes
5,1,171,5,2,5921,Yes
5,4,217,2,2,5469,Yes
5,4,202,3,3,4559,Yes
3,3,268,10,2,5626,Yes
3,1,229,2,12,3111,Yes
3,2,263,3,8,5447,Yes
4,1,144,4,8,4303,No
4,2,208,3,8,4342,No
4,2,223,5,3,1395,Yes
4,4,218,4,45,3234,Yes
3,5,156,2,43,1301,Yes
3,4,232,3,6,4050,No
7,5,254,4,1,1347,No
3,1,209,2,1,5779,Yes
4,5,272,2,10,4962,No
3,4,239,8,4,4192,No
5,1,172,2,7,5165,No
4,5,151,3,31,1365,Yes
6,1,251,4,2,5656,No
5,4,271,4,5,1184,Yes
6,4,260,4,1,1883,No
3,5,245,4,26,2072,Yes
4,5,270,3,2,5272,No
4,5,262,6,10,1156,No
4,4,197,5,8,4793,No
4,2,266,2,8,5516,No
6,4,217,4,4,4247,Yes
4,3,209,5,6,4384,No
4,1,257,2,7,4869,No
4,4,176,3,1,4774,No
5,2,234,5,6,1703,No
5,2,141,3,34,1020,Yes
4,5,239,2,1,4247,No
4,4,173,3,61,1609,Yes
4,1,263,5,1,1605,Yes
4,5,136,3,1,4585,Yes
6,3,271,4,6,1934,No
3,3,261,4,7,4542,Yes
5,5,221,5,3,1220,No
4,5,272,4,9,5034,Yes
6,3,274,4,5,1452,No
6,5,244,4,2,1980,No
4,4,201,10,3,4202,No
2,4,162,3,2,5893,Yes
5,1,217,2,9,4345,No
4,1,195,3,2,4682,No
4,2,210,3,10,5354,No
3,4,203,2,9,5735,No
5,3,215,3,2,4731,Yes
5,4,210,3,6,5102,No
4,4,226,5,12,2708,Yes
4,5,134,4,36,1191,Yes
6,4,293,6,7,1117,Yes
4,2,227,10,10,4619,No
2,1,149,4,7,5434,No
3,1,160,3,5,5524,No
4,1,241,3,61,3812,Yes
4,3,190,4,4,4102,Yes
5,4,223,2,5,4424,Yes
5,5,133,3,63,1218,Yes
6,1,266,4,2,1862,Yes
3,1,144,3,6,4163,No
4,3,253,5,6,1366,Yes
4,3,233,5,4,1668,No
3,2,223,4,3,5374,No
4,1,270,2,4,4369,No
2,5,277,3,6,1032,No
2,3,118,4,7,5510,No
5,1,232,3,10,1014,Yes
5,4,189,2,4,5575,Yes
4,5,246,6,64,2271,Yes
4,1,247,3,5,5636,Yes
3,3,192,3,2,3995,Yes
6,3,260,4,4,1358,No
3,4,194,3,7,4565,No
7,4,295,4,5,1239,No
4,1,139,3,1,5502,Yes
3,3,179,2,60,1808,Yes
3,1,177,4,6,5037,Yes
4,1,168,2,3,4665,Yes
4,3,271,2,22,2595,Yes
5,4,257,2,55,2257,Yes
4,1,237,5,5,1041,No
4,1,273,2,10,5832,Yes
5,5,269,3,5,5673,Yes
5,3,137,4,9,4754,No
3,5,208,3,1,4803,No
3,4,223,10,9,4337,No
6,1,103,4,2,5089,No
2,3,258,5,6,1727,No
3,3,219,2,41,3932,Yes
4,4,202,3,2,4299,Yes
3,5,193,3,9,4982,No
5,4,245,5,6,3592,Yes
3,2,170,2,2,4214,Yes
4,2,202,4,1,3602,Yes
3,2,201,6,7,4723,Yes
3,3,201,4,7,2299,Yes
5,2,269,2,9,5672,No
5,4,209,4,10,5461,No
3,3,164,3,9,5070,No
4,3,232,5,8,1265,No
4,1,186,3,6,4758,No
3,3,195,7,4,4614,No
3,1,131,4,1,1628,No
4,5,173,4,7,4978,Yes
5,1,159,2,5,4382,No
5,5,206,3,1,5520,No
3,3,196,3,9,4431,No
4,4,149,3,34,1977,Yes
4,4,210,3,14,3666,Yes
4,2,139,3,5,1674,Yes
3,4,255,4,12,2266,Yes
5,2,261,8,1,3308,Yes
5,1,158,3,9,1483,Yes
3,1,269,4,7,5107,No
4,5,275,6,10,1400,Yes
3,3,158,3,6,1878,Yes
5,4,154,2,5,5528,No
3,2,213,2,54,2809,Yes
4,3,255,6,3,4278,Yes
2,5,155,5,6,1639,No
6,3,304,5,10,1254,Yes
3,2,203,3,3,2791,Yes
3,4,145,3,44,1218,Yes
4,2,264,5,6,1736,Yes
5,2,139,4,9,5070,Yes
4,4,259,3,8,4223,Yes
4,1,237,4,4,4697,Yes
5,2,174,5,8,4656,No
6,5,150,3,3,5747,No
3,3,213,2,10,5495,No
4,3,269,3,7,2538,Yes
4,3,239,3,7,5511,Yes
5,1,234,3,4,5033,No
3,1,243,3,2,5827,Yes
3,5,246,3,1,5650,Yes
3,2,164,2,7,4150,No
2,5,101,3,10,4353,No
4,5,208,2,1,4039,No
4,3,296,2,9,1523,Yes
4,1,208,3,8,4890,Yes
4,1,270,4,64,3312,Yes
4,3,203,4,1,5274,No
4,3,221,2,6,4114,Yes
4,5,233,2,10,5865,Yes
3,4,267,3,62,3589,Yes
4,4,239,3,4,4756,No
6,1,104,4,23,1442,Yes
5,4,252,5,10,1015,Yes
4,4,168,3,53,1782,Yes
3,2,157,3,1,5398,No
3,2,166,2,6,4765,No
4,3,147,2,2,5431,No
4,5,275,5,6,4450,No
3,5,283,2,2,4207,No
3,2,195,2,2,4669,Yes
4,2,231,5,2,1465,Yes
4,4,135,2,4,5112,No
3,5,106,2,3,5615,No
5,3,216,10,4,4409,Yes
3,2,177,3,8,5006,Yes
3,1,202,2,7,4598,No
6,1,127,3,8,5976,Yes
4,2,187,2,6,3625,Yes
3,3,147,2,52,1040,Yes
5,3,227,5,2,1965,No
3,5,268,2,4,5909,No
4,4,255,3,60,2777,Yes
4,4,255,6,5,1708,Yes
4,2,228,5,6,1718,No
2,2,251,6,1,4165,Yes
3,5,141,3,10,5775,No
5,5,161,3,7,5338,Yes
4,5,148,2,2,4883,Yes
7,3,307,4,4,1653,No
4,1,155,3,4,5666,No
5,1,160,3,3,5839,No
4,1,150,6,42,1070,Yes
4,4,262,3,2,5429,No
6,3,304,5,6,1184,No
3,3,201,10,10,5281,No
4,3,207,2,4,5227,Yes
5,5,236,3,4,5724,Yes
4,4,141,3,10,4289,No
3,2,151,2,1,5179,No
6,5,266,5,10,4140,No
3,2,185,4,6,5854,No
3,5,192,3,7,4056,Yes
4,3,231,3,8,4991,No
4,1,140,2,5,1274,Yes
5,2,140,4,58,1175,Yes
3,2,278,4,7,1879,No
4,1,192,4,3,1689,No
4,4,146,3,10,4472,Yes
4,2,269,2,2,4013,Yes
3,3,225,4,9,5468,Yes
3,2,165,3,6,5642,No
3,5,164,3,61,1473,Yes
4,3,272,3,38,3705,Yes
3,2,190,3,18,2715,Yes
5,5,237,5,1,1526,No
4,5,177,3,7,4243,Yes
5,4,240,4,2,5215,No
7,1,308,4,5,1705,No
4,4,168,2,63,1474,Yes
5,4,217,6,6,1483,Yes
6,1,208,5,6,4537,No
6,2,293,4,4,1764,Yes
4,5,226,2,1,4532,No
5,4,254,5,36,2039,Yes
5,4,228,5,9,1044,No
5,5,209,2,3,4348,No
2,1,207,4,1,5742,No
4,2,251,6,1,1154,Yes
5,5,158,3,47,1246,Yes
7,5,269,4,2,1592,No
5,3,225,5,6,1082,No
4,4,146,3,10,5805,No
4,2,235,5,8,1021,No
4,2,245,2,1,5978,No
3,3,188,5,25,3992,Yes
3,5,141,2,9,5000,No
4,1,140,3,9,1431,Yes
4,3,146,4,24,1844,Yes
4,5,183,2,8,4422,No
5,1,272,3,27,2415,Yes
3,2,259,8,3,4390,Yes
3,2,158,3,39,1512,Yes
4,2,223,5,3,4480,No
3,1,189,2,5,4738,No
7,2,203,5,61,1856,Yes
4,4,275,5,7,1562,Yes
6,2,103,4,37,1093,Yes
3,4,221,3,1,5391,No
5,5,253,5,4,1482,No
4,1,204,3,3,4310,No
5,1,248,3,37,3830,Yes
4,5,270,10,9,5085,Yes
4,2,178,8,5,4120,Yes
5,4,237,2,8,5600,Yes
5,1,105,6,62,1292,Yes
5,1,279,5,4,4405,Yes
4,1,249,3,4,5253,Yes
4,2,220,5,33,2854,Yes
3,3,173,2,5,4703,No
4,5,272,2,1,5378,No
5,3,143,2,59,1837,Yes
6,1,290,4,6,1505,Yes
6,4,251,4,10,1568,Yes
5,5,266,3,53,3089,Yes
3,5,206,3,6,4620,Yes
4,2,160,3,5,4492,No
4,5,142,2,2,4472,No
3,5,180,2,33,1444,Yes
5,4,153,3,5,4711,Yes
2,3,198,2,28,3514,Yes
4,1,245,3,5,4173,No
6,4,303,5,5,1195,Yes
4,3,260,4,40,3668,Yes
6,2,282,5,5,1818,Yes
4,2,161,3,22,1819,Yes
4,2,223,3,5,4282,No
3,3,154,4,7,1915,No
4,3,97,6,4,4375,No
5,2,227,5,9,1917,No
3,4,242,10,5,4127,No
6,2,254,5,7,1638,Yes
3,5,270,3,7,4459,Yes
3,2,216,3,10,4083,No
2,1,271,3,1,4537,No
4,5,233,4,6,4705,Yes
2,2,264,3,1,4518,No
6,3,296,4,7,1515,No
3,1,209,2,43,2237,Yes
3,4,117,3,23,1527,Yes
5,2,149,2,8,5396,No
2,1,296,5,29,1648,Yes
4,1,151,2,42,1367,Yes
5,2,239,5,1,1518,Yes
5,4,244,6,3,4089,No
4,1,145,6,32,1673,Yes
3,1,250,2,5,4232,No
5,1,234,3,9,5548,No
5,2,258,3,8,4921,No
2,1,176,3,15,1996,Yes
4,5,184,3,9,5594,No
4,5,228,2,4,4783,Yes
3,4,238,2,1,4991,Yes
5,3,202,3,4,4134,Yes
4,1,204,2,7,5795,No
4,2,213,4,37,2184,Yes
2,1,111,2,10,1920,Yes
3,3,261,3,2,5629,Yes
3,1,180,3,29,1414,Yes
2,2,180,3,2,5033,Yes
4,3,259,3,1,4914,Yes
3,4,176,3,4,5623,No
6,1,287,4,5,1791,Yes
5,5,162,4,8,1311,No
5,4,156,4,1,5533,Yes
4,1,258,2,56,3186,Yes
3,3,250,2,4,4380,No
5,5,128,5,34,1008,Yes
4,5,257,2,3,5394,No
4,5,157,4,12,1038,Yes
3,2,213,4,53,3502,Yes
3,4,169,2,17,1242,Yes
6,2,286,4,6,1556,Yes
4,3,195,3,7,4915,Yes
4,4,163,2,9,4720,No
4,4,272,2,7,4042,Yes
3,5,161,2,8,5021,No
6,3,134,8,12,1371,Yes
3,5,267,2,16,2913,Yes
4,3,162,10,25,1764,Yes
2,4,101,6,6,5080,Yes
4,5,257,2,5,4127,No
5,3,167,2,3,1140,Yes
4,5,116,3,54,1314,Yes
3,4,197,3,56,3427,Yes
4,4,193,2,6,4855,Yes
4,4,163,2,41,1634,Yes
3,3,183,3,45,2181,Yes
5,4,274,3,1,4030,No
5,5,237,5,2,1593,Yes
3,4,164,10,10,4134,No
5,5,270,3,2,4351,Yes
5,1,164,3,7,4540,Yes
5,4,280,6,51,3582,Yes
3,5,271,2,6,4020,Yes
3,2,207,2,37,2460,Yes
4,2,204,8,1,4038,Yes
3,3,120,3,55,1534,Yes
4,2,252,2,4,5233,Yes
5,5,165,3,32,1798,Yes
4,5,135,3,6,4557,No
5,5,192,3,37,2197,Yes
3,1,121,5,60,1577,Yes
4,5,233,3,43,3856,Yes
4,2,183,3,5,3716,Yes
3,4,212,2,13,2733,Yes
4,5,156,3,60,1553,Yes
5,3,199,10,1,5865,No
4,1,276,2,3,1966,No
4,2,199,3,4,4070,No
3,3,275,4,2,4086,Yes
3,3,104,5,41,1936,Yes
3,5,257,2,56,3711,Yes
5,4,229,2,44,2419,Yes
4,2,156,3,1,5361,No
7,4,286,4,3,1262,Yes
3,3,233,3,5,4976,Yes
3,5,212,2,3,5761,Yes
4,4,231,2,4,5825,No
2,4,195,4,3,5641,Yes
4,5,251,2,8,5232,No
3,3,264,2,6,4102,No
3,1,133,3,5,5213,Yes
4,1,172,3,10,5106,Yes
3,1,232,2,4,5806,Yes
5,2,257,4,9,5088,No
4,2,237,3,2,5277,No
2,4,193,2,5,5706,No
4,3,143,2,1,4402,Yes
5,1,216,10,2,5672,No
3,3,149,3,63,1196,Yes
2,4,122,2,32,1213,Yes
3,4,250,3,6,4830,Yes
4,4,193,3,2,5975,Yes
5,4,233,4,1,4255,Yes
6,3,244,5,1,1847,Yes
3,3,243,3,27,2052,Yes
4,2,274,10,29,2949,Yes
4,5,164,3,7,4657,No
4,1,225,5,3,1488,No
3,3,162,3,3,1693,Yes
6,3,267,4,1,1942,Yes
4,4,145,4,35,1210,Yes
4,4,202,4,4,4053,No
2,5,264,2,9,5898,Yes
5,3,254,5,10,1501,Yes
4,3,240,2,2,5588,No
4,4,134,2,1,5209,Yes
4,1,161,6,2,5734,No
3,3,253,4,2,5040,Yes
4,5,171,3,10,4752,Yes
5,3,141,3,9,4857,No
4,4,273,2,6,5676,Yes
4,1,261,3,8,5206,Yes
5,5,161,3,59,1037,Yes
6,1,155,5,8,4882,No
4,1,118,5,50,1413,Yes
4,2,181,3,4,5717,No
4,1,222,3,25,2582,Yes
2,5,195,3,3,5785,No
5,2,254,2,5,4985,Yes
2,4,280,4,48,1463,Yes
6,5,269,4,9,1826,No
4,2,191,4,7,5507,Yes
5,1,220,5,4,1156,Yes
3,2,251,4,7,4038,No
3,4,150,2,1,4742,No
5,3,274,6,7,1293,No
3,4,160,3,3,5662,No
4,4,212,2,8,4239,No
3,2,133,2,3,4677,Yes
2,5,275,2,41,2546,Yes
5,2,263,2,63,1254,Yes
3,3,152,2,32,1665,Yes
3,2,173,3,37,1990,Yes
5,1,259,3,1,5725,No
5,2,223,5,2,1232,Yes
3,1,139,5,5,4572,No
5,1,187,4,8,5164,No
4,2,142,3,2,4790,Yes
3,4,206,3,5,5915,No
5,2,136,2,3,1370,No
2,4,225,10,56,3384,Yes
5,3,221,6,3,1960,Yes
3,4,269,3,9,5133,Yes
4,4,205,4,2,4690,Yes
4,4,199,2,9,3075,Yes
6,5,287,4,8,1465,No
3,3,218,3,19,3770,Yes
3,5,136,2,1,4971,No
5,1,140,4,48,1322,Yes
4,3,173,3,2,4351,No
3,3,155,3,29,1712,Yes
6,2,294,4,57,1265,Yes
4,4,251,4,1,4252,No
3,4,166,2,58,1319,Yes
5,4,275,2,10,5395,Yes
6,3,247,4,3,1616,Yes
3,5,188,3,6,4234,Yes
4,2,217,2,4,5539,No
4,5,108,6,46,1882,Yes
6,5,139,6,10,1081,Yes
3,2,223,2,64,3595,Yes
3,3,153,5,35,1089,Yes
3,4,178,8,6,4146,No
4,4,205,3,6,4254,No
3,3,168,3,11,1008,Yes
5,3,267,3,48,3393,Yes
6,2,106,5,9,4038,Yes
4,4,236,2,6,5101,Yes
7,4,285,4,2,1017,Yes
4,2,227,5,7,1354,Yes
4,3,214,2,57,2078,Yes
4,4,220,10,7,4598,No
3,3,201,3,2,5540,Yes
4,5,236,3,8,4132,No
3,4,228,4,6,4947,No
4,2,181,3,4,5078,No
3,3,229,6,61,2298,Yes
3,5,272,3,48,3780,Yes
