Rainfall,WindSpeed9am,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp3pm,RainTomorrow
0.0,15.0,1012.9,1009.0,0.0,1.0,31.7,No
34.8,15.0,1007.4,1005.1,7.0,8.0,29.7,No
0.0,22.0,1005.8,1002.9,5.0,4.0,35.0,No
0.0,20.0,1008.1,1004.7,1.0,6.0,31.6,No
16.0,2.0,1007.5,1004.0,6.0,6.0,33.0,Yes
0.0,31.0,1021.7,1018.7,4.0,1.0,20.4,No
0.0,17.0,1014.7,1011.1,4.0,5.0,32.2,No
0.0,9.0,1021.8,1016.6,3.0,1.0,21.2,No
13.8,20.0,1007.1,1004.0,7.0,7.0,28.2,Yes
0.0,13.0,1010.4,1007.8,5.0,1.0,36.4,No
0.0,11.0,1024.6,1021.1,1.0,0.0,22.1,No
0.0,15.0,1011.4,1008.2,4.0,5.0,28.5,No
0.0,22.0,1011.3,1007.3,6.0,5.0,33.2,No
0.0,15.0,1014.4,1009.6,7.0,5.0,32.0,No
4.0,17.0,1020.2,1018.2,7.0,5.0,19.0,No
0.0,11.0,1009.3,1004.8,7.0,5.0,33.0,No
0.0,9.0,1018.9,1015.3,1.0,2.0,28.0,No
0.0,13.0,1014.9,1011.0,1.0,6.0,31.3,No
0.0,11.0,1015.0,1010.7,6.0,1.0,31.3,No
3.0,13.0,1010.3,1007.7,7.0,7.0,31.3,Yes
1.0,11.0,1003.1,999.9,3.0,7.0,32.2,No
8.4,11.0,1005.8,1003.5,8.0,7.0,29.2,No
0.0,2.0,1029.5,1025.7,0.0,0.0,20.1,No
2.4,7.0,1008.2,1004.3,7.0,6.0,32.9,Yes
0.0,9.0,1017.7,1013.9,2.0,1.0,29.3,No
0.0,7.0,1014.3,1009.2,0.0,4.0,36.0,No
0.0,15.0,1017.9,1013.3,0.0,0.0,30.0,No
2.4,11.0,1009.7,1005.7,7.0,7.0,30.9,No
0.0,17.0,1023.8,1020.4,7.0,7.0,19.7,No
0.0,6.0,1010.8,1005.6,2.0,3.0,36.0,Yes
0.0,13.0,1012.4,1008.3,6.0,1.0,33.0,No
0.2,15.0,1008.6,1006.8,7.0,8.0,27.1,Yes
0.0,20.0,1014.9,1011.1,3.0,1.0,32.3,No
7.4,19.0,1012.0,1009.4,7.0,3.0,32.6,No
0.0,15.0,1009.9,1005.8,1.0,2.0,38.0,No
0.0,6.0,1027.6,1023.1,1.0,0.0,22.1,No
0.0,11.0,1009.0,1005.5,7.0,6.0,34.7,No
0.0,11.0,1022.6,1018.3,0.0,0.0,28.6,No
0.0,15.0,1015.6,1011.7,5.0,5.0,31.1,No
4.0,2.0,1007.9,1005.3,6.0,7.0,30.0,No
0.0,15.0,1011.8,1009.1,7.0,7.0,31.5,No
0.0,15.0,1013.8,1009.7,4.0,4.0,29.3,No
0.0,24.0,1006.6,1004.2,7.0,7.0,33.7,No
0.0,15.0,1011.2,1007.9,5.0,7.0,33.8,No
0.0,6.0,1012.1,1008.0,5.0,4.0,33.6,No
0.0,7.0,1014.5,1011.2,1.0,0.0,22.3,No
0.0,17.0,1012.3,1008.9,5.0,3.0,34.0,No
10.0,15.0,1011.4,1008.5,6.0,7.0,33.0,No
0.0,20.0,1029.2,1026.1,8.0,8.0,13.2,No
0.0,11.0,1014.9,1010.9,3.0,3.0,30.7,No
0.0,13.0,1010.7,1007.7,1.0,2.0,32.3,No
0.0,11.0,1015.6,1011.5,0.0,0.0,31.0,No
0.0,15.0,1002.8,999.9,3.0,7.0,29.6,Yes
0.0,22.0,1015.3,1011.6,5.0,7.0,31.9,No
0.0,28.0,1016.5,1011.9,3.0,2.0,29.7,No
0.0,6.0,1015.7,1010.1,0.0,0.0,37.2,No
0.2,9.0,1006.6,1001.9,7.0,6.0,28.9,Yes
1.8,17.0,1004.3,1001.9,3.0,4.0,32.4,Yes
0.0,6.0,1023.1,1021.0,0.0,1.0,19.4,No
0.0,17.0,1013.0,1009.1,1.0,1.0,30.5,No
0.0,13.0,1014.0,1009.6,8.0,6.0,32.5,Yes
0.0,17.0,1014.7,1011.6,3.0,1.0,31.9,No
0.0,26.0,1012.2,1008.7,7.0,7.0,31.2,No
8.6,6.0,1008.4,1005.8,5.0,7.0,31.0,Yes
0.0,4.0,1024.7,1021.6,0.0,0.0,24.1,No
0.0,13.0,1023.1,1017.9,6.0,1.0,29.5,No
0.0,11.0,1013.1,1008.7,4.0,3.0,30.6,No
0.0,9.0,1015.4,1010.5,7.0,6.0,30.4,No
0.0,9.0,1021.8,1017.6,0.0,1.0,28.3,No
0.0,13.0,1010.6,1006.2,6.0,4.0,32.4,No
0.0,20.0,1008.8,1007.4,7.0,7.0,24.8,Yes
0.0,9.0,1013.3,1009.3,0.0,1.0,35.0,No
0.0,9.0,1021.8,1018.7,0.0,1.0,20.5,No
0.0,9.0,1008.3,1005.0,7.0,7.0,33.3,No
0.0,22.0,1020.8,1015.8,0.0,0.0,30.7,No
0.0,17.0,1012.1,1009.0,0.0,1.0,32.7,No
0.0,9.0,1013.1,1009.7,1.0,2.0,31.4,No
48.4,22.0,1004.6,1003.6,8.0,8.0,19.2,Yes
0.0,22.0,1012.4,1008.9,1.0,1.0,30.5,No
0.0,19.0,1004.6,1001.8,7.0,7.0,31.9,No
0.0,13.0,1010.4,1004.2,3.0,5.0,38.8,Yes
0.0,9.0,1012.6,1006.8,0.0,4.0,38.1,No
0.0,19.0,1022.3,1019.2,7.0,3.0,16.0,No
0.0,15.0,1012.4,1009.0,2.0,1.0,31.9,No
0.0,13.0,1028.9,1024.4,2.0,1.0,16.1,No
0.0,13.0,1011.6,1006.7,1.0,1.0,32.1,Yes
0.0,13.0,1018.3,1012.8,3.0,3.0,31.0,No
0.0,17.0,1012.9,1009.3,1.0,1.0,36.0,No
