Id;Chart;Question
0;ObesityDataSet_decision_tree.png;The variable FAF discriminates between the target values, as shown in the decision tree.
1;ObesityDataSet_decision_tree.png;Variable Height is one of the most relevant variables.
2;ObesityDataSet_decision_tree.png;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.
3;ObesityDataSet_decision_tree.png;As reported in the tree, the number of False Positive is smaller than the number of False Negatives.
4;ObesityDataSet_decision_tree.png;The specificity for the presented tree is higher than 75%.
5;ObesityDataSet_decision_tree.png;The number of True Negatives reported in the same tree is 50.
6;ObesityDataSet_decision_tree.png;The number of False Positives is lower than the number of False Negatives for the presented tree.
7;ObesityDataSet_decision_tree.png;The variable FAF seems to be one of the two most relevant features.
8;ObesityDataSet_decision_tree.png;Considering that A=True<=>[FAF <= 2.0] and B=True<=>[Height <= 1.72], it is possible to state that Naive Bayes algorithm classifies (not A, B), as Overweight_Level_I.
9;ObesityDataSet_decision_tree.png;Considering that A=True<=>[FAF <= 2.0] and B=True<=>[Height <= 1.72], the Decision Tree presented classifies (A, not B) as Obesity_Type_III.
10;ObesityDataSet_decision_tree.png;Considering that A=True<=>[FAF <= 2.0] and B=True<=>[Height <= 1.72], it is possible to state that KNN algorithm classifies (A, not B) as Insufficient_Weight for any k ≤ 160.
11;ObesityDataSet_overfitting_mlp.png;We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
12;ObesityDataSet_overfitting_gb.png;We are able to identify the existence of overfitting for gradient boosting models with more than 1002 estimators.
13;ObesityDataSet_overfitting_rf.png;Results for Random Forests identified as 3, may be explained by its estimators being in underfitting.
14;ObesityDataSet_overfitting_rf.png;The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.
15;ObesityDataSet_overfitting_rf.png;We are able to identify the existence of overfitting for random forest models with more than 502 estimators.
16;ObesityDataSet_overfitting_knn.png;KNN is in overfitting for k larger than 17.
17;ObesityDataSet_overfitting_knn.png;KNN with 7 neighbour is in overfitting.
18;ObesityDataSet_overfitting_knn.png;KNN with more than 17 neighbours is in overfitting.
19;ObesityDataSet_overfitting_knn.png;We are able to identify the existence of overfitting for KNN models with less than 2 neighbors.
20;ObesityDataSet_overfitting_decision_tree.png;According to the decision tree overfitting chart, the tree with 12 nodes of depth is in overfitting.
21;ObesityDataSet_overfitting_decision_tree.png;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 4.
22;ObesityDataSet_overfitting_decision_tree.png;The decision tree is in overfitting for depths above 8.
23;ObesityDataSet_overfitting_decision_tree.png;We are able to identify the existence of overfitting for decision tree models with more than 6 nodes of depth.
24;ObesityDataSet_pca.png;The first 7 principal components are enough for explaining half the data variance.
25;ObesityDataSet_pca.png;Using the first 7 principal components would imply an error between 15 and 20%.
