Id,Chart,Question,Answer
0,smoking_drinking_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.,F
1,smoking_drinking_overfitting_knn.png,KNN with less than 7 neighbours is in overfitting.,T
2,smoking_drinking_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.,F
3,smoking_drinking_pca.png,The first 10 principal components are enough to explain half the data variance.,T
4,smoking_drinking_correlation_heatmap.png,Removing variable hemoglobin would not improve the training of the decision tree algorithm .,T
5,smoking_drinking_boxplots.png,"A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.",F
6,smoking_drinking_histograms_symbolic.png,"Considering the common semantics for sex variable, dummification would be the most adequate encoding.",F
7,smoking_drinking_class_histogram.png,Balancing this dataset would be mandatory to improve the results.,F
8,smoking_drinking_nr_records_nr_variables.png,"As we are facing the curse of dimensionality, dummification could be a better option than using binary variables.",F
9,smoking_drinking_histograms_numeric.png,The existence of outliers is one of the problems to tackle in this dataset.,F
10,BankNoteAuthentication_pca.png,The first 2 principal components are enough for explaining half the data variance.,T
11,BankNoteAuthentication_correlation_heatmap.png,"Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.",T
12,BankNoteAuthentication_boxplots.png,"A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.",F
13,BankNoteAuthentication_class_histogram.png,Balancing this dataset would be mandatory to improve the results.,F
14,BankNoteAuthentication_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.,F
15,BankNoteAuthentication_histograms_numeric.png,Normalization of this dataset could not help a KNN algorithm to outperform a Naive Bayes.,T
16,Iris_overfitting_mlp.png,"As reported in the chart, the MLP enters into overfitting after 500 iterations.",F
17,Iris_overfitting_rf.png,The random forests results shown can be explained by the fact that the models become more complex with the number of estimators.,F
18,Iris_overfitting_knn.png,KNN is in overfitting for k less than 5.,F
19,Iris_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 12 nodes of depth is in overfitting.",F
20,Iris_pca.png,The first 2 principal components are enough for explaining half the data variance.,T
21,Iris_correlation_heatmap.png,The intrinsic dimensionality of this dataset is 3.,T
22,Iris_class_histogram.png,Balancing this dataset would be mandatory to improve the results.,F
23,Iris_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.,T
24,Iris_histograms_numeric.png,"It is clear that variable SepalLengthCm shows some outliers, but we can’t be sure of the same for variable PetalWidthCm.",F
25,phone_decision_tree.png,Pruning can only improve the decision tree presented if it is based on post-pruning.,F
26,phone_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.,F
27,phone_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 1002 estimators.,F
28,phone_overfitting_rf.png,"Results for Random Forests identified as 20, may be explained by its estimators being in overfitting.",F
29,phone_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.,T
30,phone_pca.png,The first 3 principal components are enough for explaining half the data variance.,T
31,phone_correlation_heatmap.png,The intrinsic dimensionality of this dataset is 11.,F
32,phone_boxplots.png,The existence of outliers is one of the problems to tackle in this dataset.,F
33,phone_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.,F
34,phone_histograms_numeric.png,The histograms presented show a large number of outliers for most of the numeric variables.,F
35,Titanic_decision_tree.png,"Considering that A=True<=>[Pclass <= 2.5] and B=True<=>[Parch <= 0.5], the Decision Tree presented classifies (not A, B) as 1.",F
36,Titanic_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.,F
37,Titanic_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.,T
38,Titanic_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 1002 estimators.,T
