Id,Chart,Question,Answer
1,smoking_drinking_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.,F
4,smoking_drinking_overfitting_knn.png,KNN with less than 7 neighbours is in overfitting.,T
6,smoking_drinking_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.,F
7,smoking_drinking_pca.png,The first 10 principal components are enough to explain half the data variance.,T
8,smoking_drinking_correlation_heatmap.png,Removing variable hemoglobin would not improve the training of the decision tree algorithm .,T
9,smoking_drinking_boxplots.png,"A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.",F
10,smoking_drinking_histograms_symbolic.png,"Considering the common semantics for sex variable, dummification would be the most adequate encoding.",F
11,smoking_drinking_class_histogram.png,Balancing this dataset would be mandatory to improve the results.,F
12,smoking_drinking_nr_records_nr_variables.png,"As we are facing the curse of dimensionality, dummification could be a better option than using binary variables.",F
13,smoking_drinking_histograms_numeric.png,The existence of outliers is one of the problems to tackle in this dataset.,F
21,BankNoteAuthentication_pca.png,The first 2 principal components are enough for explaining half the data variance.,T
22,BankNoteAuthentication_correlation_heatmap.png,"Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.",T
23,BankNoteAuthentication_boxplots.png,"A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.",F
24,BankNoteAuthentication_class_histogram.png,Balancing this dataset would be mandatory to improve the results.,F
25,BankNoteAuthentication_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.,F
26,BankNoteAuthentication_histograms_numeric.png,Normalization of this dataset could not help a KNN algorithm to outperform a Naive Bayes.,T
28,Iris_overfitting_mlp.png,"As reported in the chart, the MLP enters into overfitting after 500 iterations.",F
30,Iris_overfitting_rf.png,The random forests results shown can be explained by the fact that the models become more complex with the number of estimators.,F
31,Iris_overfitting_knn.png,KNN is in overfitting for k less than 5.,F
32,Iris_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 12 nodes of depth is in overfitting.",F
33,Iris_pca.png,The first 2 principal components are enough for explaining half the data variance.,T
34,Iris_correlation_heatmap.png,The intrinsic dimensionality of this dataset is 3.,T
36,Iris_class_histogram.png,Balancing this dataset would be mandatory to improve the results.,F
37,Iris_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.,T
38,Iris_histograms_numeric.png,"It is clear that variable SepalLengthCm shows some outliers, but we can’t be sure of the same for variable PetalWidthCm.",F
39,phone_decision_tree.png,Pruning can only improve the decision tree presented if it is based on post-pruning.,F
40,phone_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.,F
41,phone_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 1002 estimators.,F
42,phone_overfitting_rf.png,"Results for Random Forests identified as 20, may be explained by its estimators being in overfitting.",F
43,phone_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.,T
45,phone_pca.png,The first 3 principal components are enough for explaining half the data variance.,T
46,phone_correlation_heatmap.png,The intrinsic dimensionality of this dataset is 11.,F
47,phone_boxplots.png,The existence of outliers is one of the problems to tackle in this dataset.,F
50,phone_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.,F
51,phone_histograms_numeric.png,The histograms presented show a large number of outliers for most of the numeric variables.,F
52,Titanic_decision_tree.png,"Considering that A=True<=>[Pclass <= 2.5] and B=True<=>[Parch <= 0.5], the Decision Tree presented classifies (not A, B) as 1.",F
53,Titanic_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.,F
54,Titanic_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.,T
55,Titanic_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 1002 estimators.,T
56,Titanic_overfitting_knn.png,KNN with 7 neighbour is in overfitting.,T
57,Titanic_overfitting_decision_tree.png,We are able to identify the existence of overfitting for decision tree models with more than 3 nodes of depth.,F
58,Titanic_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.,F
59,Titanic_pca.png,Using the first 4 principal components would imply an error between 5 and 20%.,F
60,Titanic_correlation_heatmap.png,The intrinsic dimensionality of this dataset is 2.,F
61,Titanic_boxplots.png,"Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.",F
62,Titanic_histograms_symbolic.png,"All variables, but the class, should be dealt with as numeric.",F
65,Titanic_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.,F
67,apple_quality_decision_tree.png,The number of True Positives is lower than the number of False Negatives for the presented tree.,T
68,apple_quality_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.,F
71,apple_quality_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.,T
73,apple_quality_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.,F
74,apple_quality_pca.png,The first 3 principal components are enough for explaining half the data variance.,T
75,apple_quality_correlation_heatmap.png,The variable Juiciness can be discarded without risking losing information.,T
76,apple_quality_boxplots.png,Scaling this dataset would be mandatory to improve the results with distance-based methods.,F
77,apple_quality_class_histogram.png,Balancing this dataset would be mandatory to improve the results.,F
78,apple_quality_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.,F
79,apple_quality_histograms_numeric.png,The histograms presented show a large number of outliers for most of the numeric variables.,F
80,Employee_decision_tree.png,"Considering that A=True<=>[JoiningYear <= 2017.5] and B=True<=>[ExperienceInCurrentDomain <= 3.5], it is possible to state that KNN algorithm classifies (A, not B) as 0 for any k ≤ 471.",T
84,Employee_overfitting_knn.png,KNN with more than 7 neighbours is in overfitting.,F
86,Employee_overfitting_dt_acc_rec.png,We are able to identify the existence of overfitting for decision tree models with more than 3 nodes of depth.,F
87,Employee_pca.png,The first 2 principal components are enough for explaining half the data variance.,T
88,Employee_correlation_heatmap.png,Variable JoiningYear seems to be important for the majority of mining tasks.,F
89,Employee_boxplots.png,The boxplots presented show a large number of outliers for most of the analysed variables.,F
90,Employee_histograms_symbolic.png,"Given the usual semantics of Gender variable, dummification would have been a better codification.",F
91,Employee_class_histogram.png,Balancing this dataset would be mandatory to improve the results.,T
93,Employee_histograms_numeric.png,"A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.",T
95,smoking_drinking_overfitting_mlp.png,"The data chart suggests that MLP models begin to overfit after a certain number of iterations, which is not explicitly indicated in the chart but can be inferred.",F
96,smoking_drinking_overfitting_gb.png,The gradient boosting model's accuracy reaches a plateau and then decreases beyond approximately 1000 estimatorsdue to overfitting.,F
98,smoking_drinking_overfitting_knn.png,"The accuracy of KNN increases with the number of neighbors up to a certain point, beyond which it starts to overfit the data. Specifically, overfitting begins around 13 or more neighbors.",F
99,smoking_drinking_overfitting_decision_tree.png,"According to the decision tree overfitting chart, a tree with a max depth greater than the point where accuracy on the training data starts decreasing is in overfitting.",F
100,smoking_drinking_overfitting_dt_acc_rec.png," The performance of both accuracy and recall increases with the max depth up to a point, but beyond that, the model begins to overfit, resulting in a decrease in accuracy and an unstable recall.",F
101,smoking_drinking_pca.png, The bar chart reveals that the first 12 principal components together explain 100.0% of the data variance.,T
112,BankNoteAuthentication_overfitting_knn.png," KNN exhibits overfitting when the number of neighbors is greater than 5, as indicated by the decreasing accuracy on the chart.",F
113,BankNoteAuthentication_overfitting_decision_tree.png,"According to the multi-line chart, the decision tree exhibits increasing overfitting as the max depth increases, reaching high accuracy levels but eventually leading to overfitting beyond a max depth of approximately 15.",F
114,BankNoteAuthentication_overfitting_dt_acc_rec.png,"The performance of both accuracy and recall increase as the max depth of the decision tree increases, but the extent of the increase in accuracy contrasts the decrease in recall, indicating overfitting.",F
115,BankNoteAuthentication_pca.png,The four principal components collectively explain a significant proportion of the variance in the data.,T
122,Iris_overfitting_mlp.png,The MLP model shows signs of overfitting after approximately 800 iterations.,F
124,Iris_overfitting_rf.png,"The random forest model's accuracy increases as the number of estimators grows, but it eventually reaches a plateau and starts to decrease due to overfitting.",F
125,Iris_overfitting_knn.png, KNN shows overfitting when the number of neighbors is greater than 17.,F
126,Iris_overfitting_decision_tree.png,"According to the given chart, the decision tree exhibits increasing accuracy with max depth up to a certain point, after which accuracy starts decreasing, indicating overfitting.",F
