Id;Data;Chart
0;FAF,Height,;ObesityDataSet_decision_tree.png
1;no;ObesityDataSet_overfitting_mlp.png
2;no;ObesityDataSet_overfitting_gb.png
3;no overfitting,underfitting until 502,acc>0.8;ObesityDataSet_overfitting_rf.png
4;no;ObesityDataSet_overfitting_knn.png
5;no;ObesityDataSet_overfitting_decision_tree.png
6;[0.94,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00];ObesityDataSet_pca.png
7;{8,[]};ObesityDataSet_correlation_heatmap.png
8;{Age:[T,F],Height,Weight,FCVC,NCP,CH2O,FAF,TUE};ObesityDataSet_boxplots.png
9;;ObesityDataSet_histograms_symbolic.png
10;[351,324,297,290,290,287,272];ObesityDataSet_class_histogram.png
11;[2111,17];ObesityDataSet_nr_records_nr_variables.png
12;;ObesityDataSet_histograms_numeric.png
13;;customer_segmentation_decision_tree.png
14;no;customer_segmentation_overfitting_mlp.png
15;overfitting after 502;customer_segmentation_overfitting_gb.png
16;no underfitting,no overfitting,acc<0.8;customer_segmentation_overfitting_rf.png
17;overfitting until 15;customer_segmentation_overfitting_knn.png
18;overfitting after 3;customer_segmentation_overfitting_decision_tree.png
19;[0.96,0.04,0.01];customer_segmentation_pca.png
20;{3,[]};customer_segmentation_correlation_heatmap.png
21;;customer_segmentation_boxplots.png
22;;customer_segmentation_histograms_symbolic.png
23;;customer_segmentation_mv.png
24;[846,759,550,472];customer_segmentation_class_histogram.png
25;[2627,10];customer_segmentation_nr_records_nr_variables.png
26;;customer_segmentation_histograms_numeric.png
27;;urinalysis_tests_decision_tree.png
28;no;urinalysis_tests_overfitting_mlp.png
29;overfitting after 2;urinalysis_tests_overfitting_gb.png
30;no underfitting,no overfitting,acc>0.8;urinalysis_tests_overfitting_rf.png
31;no;urinalysis_tests_overfitting_knn.png
32;overfitting after 6;urinalysis_tests_overfitting_decision_tree.png
33;acc_rec;urinalysis_tests_overfitting_dt_acc_rec.png
34;[1.00,0.00,0.00];urinalysis_tests_pca.png
35;{3,[]};urinalysis_tests_correlation_heatmap.png
36;;urinalysis_tests_boxplots.png
37;;urinalysis_tests_histograms_symbolic.png
38;;urinalysis_tests_mv.png
39;[1355,81];urinalysis_tests_class_histogram.png
