Chart;description;Questions
ObesityDataSet_decision_tree.png;An image showing a decision tree with depth = 2 where the first decision is made with the condition FAF <= 2.0 and the second with the condition Height <= 1.72.;['The variable FAF discriminates between the target values, as shown in the decision tree.', 'Variable Height is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.', 'As reported in the tree, the number of False Positive is smaller than the number of False Negatives.', 'The specificity for the presented tree is higher than 75%.', 'The number of True Negatives reported in the same tree is 50.', 'The number of False Positives is lower than the number of False Negatives for the presented tree.', 'The variable FAF seems to be one of the two most relevant features.', 'Considering that A=True<=>[FAF <= 2.0] and B=True<=>[Height <= 1.72], it is possible to state that Naive Bayes algorithm classifies (not A, B), as Overweight_Level_I.', 'Considering that A=True<=>[FAF <= 2.0] and B=True<=>[Height <= 1.72], the Decision Tree presented classifies (A, not B) as Obesity_Type_III.', 'Considering that A=True<=>[FAF <= 2.0] and B=True<=>[Height <= 1.72], it is possible to state that KNN algorithm classifies (A, not B) as Insufficient_Weight for any k ≤ 160.']
ObesityDataSet_overfitting_mlp.png;A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.;['We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.']
ObesityDataSet_overfitting_gb.png;A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['We are able to identify the existence of overfitting for gradient boosting models with more than 1002 estimators.']
ObesityDataSet_overfitting_rf.png;A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['Results for Random Forests identified as 3, may be explained by its estimators being in underfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 502 estimators.']
ObesityDataSet_overfitting_knn.png;A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.;['KNN is in overfitting for k larger than 17.', 'KNN with 7 neighbour is in overfitting.', 'KNN with more than 17 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 2 neighbors.']
ObesityDataSet_overfitting_decision_tree.png;A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.;['According to the decision tree overfitting chart, the tree with 12 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 4.', 'The decision tree is in overfitting for depths above 8.', 'We are able to identify the existence of overfitting for decision tree models with more than 6 nodes of depth.']
ObesityDataSet_pca.png;A bar chart showing the explained variance ratio of 8 principal components.;['The first 7 principal components are enough for explaining half the data variance.', 'Using the first 7 principal components would imply an error between 15 and 20%.']
ObesityDataSet_correlation_heatmap.png;A heatmap showing the correlation between the variables of the dataset. The variables are ['Age', 'Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE'].;['The intrinsic dimensionality of this dataset is 3.', 'One of the variables Age or Height can be discarded without losing information.', 'The variable Weight can be discarded without risking losing information.', 'Variables NCP and TUE are redundant, but we can’t say the same for the pair Weight and Height.', 'Variables FAF and TUE are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable Height seems to be relevant for the majority of mining tasks.', 'Variables FAF and Height seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable CH2O might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable Age previously than variable Height.']
ObesityDataSet_boxplots.png;A set of boxplots of the variables ['Age', 'Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE'].;['Variable CH2O is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable FCVC shows some outliers, but we can’t be sure of the same for variable TUE.', 'Outliers seem to be a problem in the dataset.', 'Variable FAF shows some outlier values.', 'Variable NCP doesn’t have any outliers.', 'Variable Height presents some outliers.', 'At least 75 of the variables present outliers.', 'The boxplots presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.']
ObesityDataSet_histograms_symbolic.png;A set of bar charts of the variables ['CAEC', 'CALC', 'MTRANS', 'Gender', 'family_history_with_overweight', 'FAVC', 'SMOKE', 'SCC'].;['All variables, but the class, should be dealt with as numeric.', 'The variable SMOKE can be seen as ordinal.', 'The variable FAVC can be seen as ordinal without losing information.', 'Considering the common semantics for FAVC and CAEC variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for family_history_with_overweight variable, dummification would be the most adequate encoding.', 'The variable MTRANS can be coded as ordinal without losing information.', 'Feature generation based on variable family_history_with_overweight seems to be promising.', 'Feature generation based on the use of variable SCC wouldn’t be useful, but the use of CAEC seems to be promising.', 'Given the usual semantics of family_history_with_overweight variable, dummification would have been a better codification.', 'It is better to drop the variable CALC than removing all records with missing values.', 'Not knowing the semantics of family_history_with_overweight variable, dummification could have been a more adequate codification.']
