QId;Score;Possible to answer;Original;Notes;Answer
"188;";5;1;;"Pos=No;FP=FNo=3168;FN=FYes=1605";T
"189;";3;1;1;theoretical;T
"190;";3;1;1;theoretical;F
"191;";3;1;1;too easy;F
"192;";5;1;;;F
"193;";5;1;1;;T
"194;";5;1;;;F
"195;";5;1;1;;T
"196;";5;1;1;;F
"197;";2;1;1;;F
"198;";4;1;1;;T
"199;";2;1;1;;T
"200;";2;1;1;;T
"201;";5;1;1;;F
"202;";2;1;1;;T
"203;";3;1;1;;F
"204;";3;1;1;;F
"205;";3;1;1;theoretical;F
"206;";3;1;1;theoretical;T
"207;";4;1;;;F
"208;";3;1;;;F
"209;";2;1;;;T
"210;";5;1;;;F
"211;";5;1;1;;T
"212;";2;0;1;;
"213;";2;1;1;;T
"214;";5;1;1;;F
"215;";1;0;1;"chart ""nan""";
"216;";5;1;;;F
"217;";5;1;;;F
"218;";4;1;1;;F
"219;";5;1;;;F
"220;";5;1;;;F
"221;";5;1;;not should;F
"222;";5;1;;;T
"223;";5;1;1;;T
"224;";2;1;1;non-interesting;T
"225;";2;1;1;non-interesting;T
"226;";5;1;1;;F
"227;";5;0;;4 classes;
"228;";5;1;1;;F
"229;";5;1;;slightly;F
"230;";5;1;;;F
"231;";5;1;;;T
"232;";5;1;;;F
"233;";5;1;1;;T
"234;";2;1;1;;F
"235;";5;1;;;F
"236;";3;1;;too easy;F
"237;";2;1;;non-interesting;T
"238;";2;1;;non-interesting;F
"239;";4;1;;;F
"240;";5;1;;;T
"241;";5;1;;;F
"242;";4;1;;;F
"243;";3;1;;theoretical;F
"244;";5;1;;;F
"245;";5;1;1;;F
"246;";3;1;1;theoretical;T
"247;";3;1;1;theoretical;T
"248;";1;0;;We don't know which is the class;
"249;";2;1;;;F
"250;";4;1;;;F
"251;";5;1;;;F
"252;";2;1;;;T
"253;";1;0;;;
"254;";5;1;;;F
"255;";2;1;1;non-interesting;T
"256;";4;1;;;F
"257;";3;1;;theoretical;T
"258;";4;1;;;F
"259;";5;1;;;F
"260;";5;1;;;F
"261;";3;1;;theoretical;T
"262;";5;1;;ExpVar=0.89;F
"263;";5;1;;;F
"264;";2;1;;non-interesting;T
"265;";2;1;;non-interesting;T
"266;";1;1;;;T
"267;";4;1;;;F
"268;";5;1;;"FP=3; FN=862";F
"269;";4;1;;;F
"270;";4;1;;;F
"271;";3;1;;theoretical;T
"272;";5;1;;;F
"273;";5;1;;after 7;F
"274;";5;1;;;F
"275;";4;1;;;T
"276;";2;1;;non-interesting;T
"277;";5;1;;;F
"278;";3;1;;too easy;F
"279;";2;1;;non-interesting;T
"280;";1;0;;;
"281;";5;1;;;T
