Image,Prediction
smoking_drinking_decision_tree.png,"Considering that A=True<=>[MK_stat<2.5] and B=True<=>[cp_cd>1.5], the Decision Tree presented classifies (not A, B) as Healthy."
smoking_drinking_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.
smoking_drinking_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.
smoking_drinking_overfitting_rf.png,The random forests results shown can be explained by the fact that they are in overfitting.
smoking_drinking_overfitting_knn.png,The chart reporting the recall for KNN would be more helpful than the chart reporting the accuracy for the same algorithm.
smoking_drinking_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 6.
smoking_drinking_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.
smoking_drinking_pca.png,The first 4 principal components are enough for explaining half the data variance.
smoking_drinking_correlation_heatmap.png,Variable SMK_stat_type_cd seems to be relevant for the majority of mining tasks.
smoking_drinking_boxplots.png,Scaling this dataset would be mandatory to improve the results with distance-based methods.
smoking_drinking_histograms_symbolic.png,It is clear that variable sex shows some rare classes.
smoking_drinking_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
smoking_drinking_nr_records_nr_variables.png,Balancing this dataset by SMOTE would most probably be preferable over undersampling.
smoking_drinking_histograms_numeric.png,At least 50 of the variables present outliers.
BankNoteAuthentication_decision_tree.png,"Considering that A=True<=>[skewness <= 5.16] and B=True<=>[curtosis <= 0.19], it is possible to verify that KNN algorithm classifies (not A, B) as 0 for any k ≤ 182."
BankNoteAuthentication_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.
BankNoteAuthentication_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.
BankNoteAuthentication_overfitting_rf.png,"Results for Random Forests identified as 3, can be explained by its estimators being in underfitting."
BankNoteAuthentication_overfitting_knn.png,KNN with 5 neighbour is in overfitting.
BankNoteAuthentication_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 7.
BankNoteAuthentication_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.
BankNoteAuthentication_pca.png,The first 2 principal components are enough for explaining half the data variance.
BankNoteAuthentication_correlation_heatmap.png,Variable skewness seems to be relevant for the majority of mining tasks.
BankNoteAuthentication_boxplots.png,Variable skewness is balanced.
BankNoteAuthentication_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
BankNoteAuthentication_nr_records_nr_variables.png,Balancing this dataset by SMOTE would most probably be preferable over Undersampling.
BankNoteAuthentication_histograms_numeric.png,The variable skewness doesn’t have any outliers.
Iris_decision_tree.png,"Considering that A=True<=>[PetalWidthCm <= 1.75] and B=True<=>[PetalWidthCm <= -2.0], it is possible to state that KNN algorithm classifies (not A, not B) as 2 (KNN with K = 3)."
Iris_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
