QId;Score;Possible to answer;Original;Notes;Answer
"94;";2;1;1;non-interesting;T
"95;";4;1;1;;F
"96;";5;1;1;;F
"97;";3;1;1;;F
"98;";5;1;1;in the wrong direction;F
"99;";5;1;1;test instead of train;F
"100;";5;1;1;stable recall;F
"101;";5;1;;;T
"102;";2;1;1;non-interesting;T
"103;";2;1;1;non-interesting;F
"104;";2;1;1;non-interesting;F
"105;";2;1;1;non-interesting;T
"106;";3;1;1;theoretical;T
"107;";0;0;0;;
"108;";2;1;1;non-interesting;T
"109;";3;1;;too easy;F
"110;";3;1;;too easy;F
"111;";3;1;;;F
"112;";5;1;;;F
"113;";4;1;;;F
"114;";4;1;;;F
"115;";5;1;;;T
"116;";2;1;;non-interesting;T
"117;";0;0;0;;
"118;";2;1;1;non-interesting;T
"119;";2;1;1;non-interesting;F
"120;";0;0;0;;
"121;";0;0;0;;
"122;";5;1;;;F
"123;";3;1;;non-interesting;F
"124;";4;1;;;F
"125;";5;1;;;F
"126;";5;1;;;F
"127;";5;1;1;;T
"128;";2;1;1;non-interesting;T
"129;";2;1;1;non-interesting;F
"130;";2;1;1;non-interesting;T
"131;";1;1;1;non-interesting;T
"132;";0;0;0;;
"133;";2;1;1;non-interesting;T
"134;";4;1;;slightly;F
"135;";5;1;;;F
"136;";4;1;;;F
"137;";5;1;1;;F
"138;";4;1;1;;F
"139;";5;1;;;T
"140;";2;1;1;;T
"141;";1;1;1;spread instead of variance;F
"142;";2;1;1;non-interesting;T
"143;";2;1;1;non-interesting;T
"144;";0;0;0;;
"145;";0;0;0;;
"146;";2;1;1;non-interesting;T
"147;";3;1;;"""platesauhs""?";F
"148;";5;1;;;T
"149;";5;1;1;slightly;F
"150;";5;1;1;;F
"151;";5;1;1;;T
"152;";5;1;1;;T
"153;";5;1;;;T
"154;";2;1;;non-interesting;T
"155;";2;1;;non-interesting;F
"156;";2;1;;non-interesting;T
"157;";2;1;;non-interesting;T
"158;";2;1;1;non-interesting;T
"159;";0;0;0;;
"160;";0;0;0;;
"161;";2;1;1;non-interesting;T
"162;";4;1;1;;F
"163;";1;0;1;"""graduate boosting""";
"164;";4;1;;;F
"165;";5;1;;;F
"166;";3;1;;;F
"167;";5;1;;;F
"168;";4;1;;;F
"169;";0;0;;;
"170;";0;0;;;
"171;";2;1;;;T
"172;";2;1;1;non-interesting;F
"173;";2;1;;non-interesting;T
"174;";2;1;;non-interesting;T
"175;";3;1;;;F
"176;";1;1;;contradictory sentence;F
"177;";2;1;;theoretical;
"178;";5;1;1;;F
"179;";5;1;1;;T
"180;";4;1;1;;F
"181;";3;1;1;ask about title;T
"182;";2;0;1;;
"183;";2;1;1;;F
"184;";0;0;0;;
"185;";1;0;1;no semantics;
"186;";2;1;1;;F
"187;";0;0;0;;
