Image,Prediction,References
smoking_drinking_decision_tree.png,"The decision tree has a depth of 2 and the first split is based on the condition SMK_stat_type_cd <= 1.5, while the second split is based on gamma_GTP <= 35.5.","[""The variable SMK_stat_type_cd discriminates between the target values, as shown in the decision tree.', 'Variable gamma_GTP is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 5%.', 'As reported in the tree, the number of False Positive is bigger than the number of False Negatives.', 'The specificity for the presented tree is higher than 90%.', 'The number of False Negatives reported in the same tree is 10.', 'The number of True Positives is lower than the number of False Negatives for the presented tree.', 'The number of False Positives is higher than the number of False Negatives for the presented tree.', 'Considering that A=True<=>[SMK_stat_type_cd <= 1.5] and B=True<=>[gamma_GTP <= 35.5], it is possible to state that KNN algorithm classifies (A,B) as N for any k ≤ 3135.', 'Considering that A=True<=>[SMK_stat_type_cd <= 1.5] and B=True<=>[gamma_GTP <= 35.5], it is possible to state that Naive Bayes algorithm classifies (not A, B), as N.', 'Considering that A=True<=>[SMK_stat_type_cd <= 1.5] and B=True<=>[gamma_GTP <= 35.5], the Decision Tree presented classifies (A, not B) as Y.""]"
smoking_drinking_overfitting_mlp.png,"The data chart suggests that MLP models begin to overfit after a certain number of iterations, which is not explicitly indicated in the chart but can be inferred.",['We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.']
smoking_drinking_overfitting_gb.png,"The gradient boosting model's accuracy reaches a plateau and then decreases beyond approximately 1000 estimatorsdue to overfitting.",['We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.']
smoking_drinking_overfitting_rf.png,"The random forest model's accuracy progressively increases as the number of estimators goes up, but eventually plateaus and then decreases, indicating overfitting.","[""Results for Random Forests identified as 10, may be explained by its estimators being in underfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 502 estimators.""]"
smoking_drinking_overfitting_knn.png,"The accuracy of KNN increases with the number of neighbors up to a certain point, beyond which it starts to overfit the data. Specifically, overfitting begins around 13 or more neighbors.","[""KNN is in overfitting for k less than 13.', 'KNN with 11 neighbour is in overfitting.', 'KNN with less than 7 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 2 neighbors.""]"
smoking_drinking_overfitting_decision_tree.png,"According to the decision tree overfitting chart, a tree with a max depth greater than the point where accuracy on the training data starts decreasing is in overfitting.","[""According to the decision tree overfitting chart, the tree with 20 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 10.', 'The decision tree is in overfitting for depths above 3.', 'We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.""]"
smoking_drinking_overfitting_dt_acc_rec.png," The performance of both accuracy and recall increases with the max depth up to a point, but beyond that, the model begins to overfit, resulting in a decrease in accuracy and an unstable recall.",['The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.']
smoking_drinking_pca.png, The bar chart reveals that the first 12 principal components together explain 100.0% of the data variance.,"[""The first 6 principal components are enough for explaining half the data variance.', 'Using the first 8 principal components would imply an error between 15 and 30%.""]"
smoking_drinking_correlation_heatmap.png,"All correlations between the variables 'age' and 'waistline' are shown in this heatmap.","[""The intrinsic dimensionality of this dataset is 7.', 'One of the variables waistline or age can be discarded without losing information.', 'The variable hemoglobin can be discarded without risking losing information.', 'Variables BLDS and weight are redundant, but we can’t say the same for the pair waistline and LDL_chole.', 'Variables age and height are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable age seems to be relevant for the majority of mining tasks.', 'Variables height and waistline seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable waistline might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable LDL_chole previously than variable SMK_stat_type_cd.""]"
smoking_drinking_boxplots.png,"The boxplot for variable height shows a symmetrical distribution.","[""Variable waistline is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable tot_chole shows some outliers, but we can’t be sure of the same for variable waistline.', 'Outliers seem to be a problem in the dataset.', 'Variable tot_chole shows a high number of outlier values.', 'Variable SMK_stat_type_cd doesn’t have any outliers.', 'Variable BLDS presents some outliers.', 'At least 85 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the Naive Bayes performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.""]"
