Chart,Question,Id
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that Naive Bayes algorithm classifies (A,B), as <=50K.",0
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that Naive Bayes algorithm classifies (not A, B), as <=50K.",1
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that Naive Bayes algorithm classifies (A, not B), as <=50K.",2
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that Naive Bayes algorithm classifies (not A, not B), as <=50K.",3
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that Naive Bayes algorithm classifies (A,B), as >50K.",4
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that Naive Bayes algorithm classifies (not A, B), as >50K.",5
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that Naive Bayes algorithm classifies (A, not B), as >50K.",6
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that Naive Bayes algorithm classifies (not A, not B), as >50K.",7
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as <=50K for any k ≤ 21974.",8
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as <=50K for any k ≤ 21974.",9
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as <=50K for any k ≤ 21974.",10
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as <=50K for any k ≤ 21974.",11
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as >50K for any k ≤ 21974.",12
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as >50K for any k ≤ 21974.",13
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as >50K for any k ≤ 21974.",14
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as >50K for any k ≤ 21974.",15
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as <=50K for any k ≤ 541.",16
