Id,Image,Prediction
0,smoking_drinking_decision_tree.png,"Considering that A=True<=>[SMK_stat_type_cd <= 1.5] and B=True<=>[gamma_GTP <= 35.5], it is possible to state that KNN algorithm classifies (A,B) as 0 for any k ≤ 105."
1,smoking_drinking_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.
2,smoking_drinking_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.
3,smoking_drinking_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 502 estimators.
4,smoking_drinking_overfitting_knn.png,KNN with less than 7 neighbours is in overfitting.
5,smoking_drinking_overfitting_decision_tree.png,The chart reporting the recall for different trees helps in understanding the existence of overfitting for this models.
6,smoking_drinking_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.
7,smoking_drinking_pca.png,The first 10 principal components are enough to explain half the data variance.
8,smoking_drinking_correlation_heatmap.png,Removing variable hemoglobin would not improve the training of the decision tree algorithm .
9,smoking_drinking_boxplots.png,"A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset."
10,smoking_drinking_histograms_symbolic.png,"Considering the common semantics for sex variable, dummification would be the most adequate encoding."
11,smoking_drinking_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
12,smoking_drinking_nr_records_nr_variables.png,"As we are facing the curse of dimensionality, dummification could be a better option than using binary variables."
13,smoking_drinking_histograms_numeric.png,The existence of outliers is one of the problems to tackle in this dataset.
14,BankNoteAuthentication_decision_tree.png,"Considering that A stands for {curtosis <= 0.19}, the decision tree shown classifies A as 1."
15,BankNoteAuthentication_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
16,BankNoteAuthentication_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 1002 estimators.
17,BankNoteAuthentication_overfitting_rf.png,We are able to identify the existence of overfitting for random forests with more than 502 estimators.
18,BankNoteAuthentication_overfitting_knn.png,KNN with 7 neighbour is in overfitting.
19,BankNoteAuthentication_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting."
20,BankNoteAuthentication_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.
21,BankNoteAuthentication_pca.png,The first 2 principal components are enough for explaining half the data variance.
22,BankNoteAuthentication_correlation_heatmap.png,"Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset."
23,BankNoteAuthentication_boxplots.png,"A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset."
24,BankNoteAuthentication_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
25,BankNoteAuthentication_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.
26,BankNoteAuthentication_histograms_numeric.png,Normalization of this dataset could not help a KNN algorithm to outperform a Naive Bayes.
27,Iris_decision_tree.png,"Given the intrinsic dimensions of the data, the kNN algorithm would be expected to outperform a Logistic Regression one."
28,Iris_overfitting_mlp.png,"As reported in the chart, the MLP enters into overfitting after 500 iterations."
29,Iris_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.
30,Iris_overfitting_rf.png,The random forests results shown can be explained by the fact that the models become more complex with the number of estimators.
31,Iris_overfitting_knn.png,KNN is in overfitting for k less than 5.
32,Iris_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 12 nodes of depth is in overfitting."
33,Iris_pca.png,The first 2 principal components are enough for explaining half the data variance.
34,Iris_correlation_heatmap.png,The intrinsic dimensionality of this dataset is 3.
35,Iris_boxplots.png,Normalization of this dataset could not help a KNN algorithm to outperform a LDA in the same problem.
36,Iris_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
37,Iris_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.
38,Iris_histograms_numeric.png,"It is clear that variable SepalLengthCm shows some outliers, but we can’t be sure of the same for variable PetalWidthCm."
39,phone_decision_tree.png,Pruning can only improve the decision tree presented if it is based on post-pruning.
40,phone_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
41,phone_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 1002 estimators.
