Image,Prediction
Titanic_decision_tree.png,An image showing a decision tree with depth = 2 where the first decision is made with variable age and the second with variable numofproducts.
Titanic_overfitting_mlp.png,A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.
Titanic_overfitting_gb.png,A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.
Titanic_overfitting_rf.png,A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.
Titanic_overfitting_knn.png,A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.
Titanic_overfitting_decision_tree.png,A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.
Titanic_overfitting_dt_acc_rec.png,A multi-line chart showing the overfitting of decision tree where the y-axis represents the performance of both accuracy and recall and the x-axis represents the max depth ranging from 2 to 25.
Titanic_pca.png,A bar chart showing the explained variance ratio of 5 principal components.
Titanic_correlation_heatmap.png,"A heatmap showing the correlation between the variables of the dataset. the variables are [duration, credit_amount, installment_commitment, residence_since, age, existing_credits]."
Titanic_boxplots.png,"A set of boxplots of the variables [joiningyear, paymenttier, age, experienceincurrentdomain]."
Titanic_histograms_symbolic.png,"A bar chart showing the number of missing values per variable of the dataset. the variables that have missing values are: [gender, dependents, self_employed, loan_amount_term, credit_history]."
Titanic_mv.png,A bar chart showing the number of missing values per variable of the dataset. the variables that have missing values are: [color].
Titanic_class_histogram.png,A bar chart showing the distribution of the target variable outcome.
Titanic_nr_records_nr_variables.png,A bar chart showing the number of records and variables of the dataset.
Titanic_histograms_numeric.png,"A set of histograms of the variables [applicantincome, coapplicantincome, loanamount, loan_amount_term]."
