Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 62.;[PCA,Correlation heatmap]
The intrinsic dimensionality of this dataset is 37.;[PCA,Correlation heatmap]
The intrinsic dimensionality of this dataset is 68.;[PCA,Correlation heatmap]
The intrinsic dimensionality of this dataset is 54.;[PCA,Correlation heatmap]
The intrinsic dimensionality of this dataset is 16.;[PCA,Correlation heatmap]
The figure doesn’t show any missing values for PetalWidthCm, but these may be hidden as some non-pre-identified value.;[Histograms]
The figure doesn’t show any missing values for PetalLengthCm, but these may be hidden as some non-pre-identified value.;[Histograms]
The figure doesn’t show any missing values for SepalWidthCm, but these may be hidden as some non-pre-identified value.;[Histograms]
The figure doesn’t show any missing values for SepalLengthCm, but these may be hidden as some non-pre-identified value.;[Histograms]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,Histograms]
The variable PetalWidthCm can be seen as ordinal.;[Scatter-plots,Histograms]
The variable PetalLengthCm can be seen as ordinal.;[Scatter-plots,Histograms]
The variable SepalWidthCm can be seen as ordinal.;[Scatter-plots,Histograms]
The variable SepalLengthCm can be seen as ordinal.;[Scatter-plots,Histograms]
The variable PetalWidthCm can be seen as ordinal without losing information.;[Scatter-plots,Histograms]
The variable PetalLengthCm can be seen as ordinal without losing information.;[Scatter-plots,Histograms]
The variable SepalWidthCm can be seen as ordinal without losing information.;[Scatter-plots,Histograms]
The variable SepalLengthCm can be seen as ordinal without losing information.;[Scatter-plots,Histograms]
Variable PetalWidthCm is balanced.;[Histograms,Boxplots]
Variable PetalLengthCm is balanced.;[Histograms,Boxplots]
Variable SepalWidthCm is balanced.;[Histograms,Boxplots]
Variable SepalLengthCm is balanced.;[Histograms,Boxplots]
Those boxplots show that the data is not normalized.;[Boxplot global,Single boxplots]
It is clear that variable PetalLengthCm shows some outliers, but we can’t be sure of the same for variable PetalWidthCm.;[Boxplots,Histograms]
