Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 71.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 22.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 19.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 51.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 62.;[Correlation heatmap]
The figure doesn’t show any missing values for entropy, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for curtosis, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for skewness, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for variance, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,All_Histograms]
The variable entropy can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable curtosis can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable skewness can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable variance can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable entropy can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable curtosis can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable skewness can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable variance can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
Variable entropy is balanced.;[Histograms,Boxplots]
Variable curtosis is balanced.;[Histograms,Boxplots]
Variable skewness is balanced.;[Histograms,Boxplots]
Variable variance is balanced.;[Histograms,Boxplots]
Those boxplots show that the data is not normalized.;[Boxplot global,Single boxplots]
It is clear that variable curtosis shows some outliers, but we can’t be sure of the same for variable entropy.;[Boxplots,Histograms]
It is clear that variable skewness shows some outliers, but we can’t be sure of the same for variable entropy.;[Boxplots,Histograms]
It is clear that variable variance shows some outliers, but we can’t be sure of the same for variable entropy.;[Boxplots,Histograms]
