Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 95.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 60.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 67.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 23.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 68.;[Correlation heatmap]
The figure doesn’t show any missing values for perimeter_worst, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for texture_worst, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for radius_worst, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for symmetry_se, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for smoothness_se, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for area_se, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for perimeter_se, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for texture_se, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for perimeter_mean, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for texture_mean, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,All_Histograms]
The variable perimeter_worst can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable texture_worst can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable radius_worst can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable symmetry_se can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable smoothness_se can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable area_se can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable perimeter_se can be seen as ordinal.;[Scatter-plots,All_Histograms]
