Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 43.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 22.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 98.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 89.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 86.;[Correlation heatmap]
The figure doesn’t show any missing values for EstimatedSalary, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for IsActiveMember, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for HasCrCard, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for NumOfProducts, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Balance, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Tenure, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Age, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Gender, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Geography, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for CreditScore, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,All_Histograms]
The variable EstimatedSalary can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable IsActiveMember can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable HasCrCard can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable NumOfProducts can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Balance can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Tenure can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Age can be seen as ordinal.;[Scatter-plots,All_Histograms]
