Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 36.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 30.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 81.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 42.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 76.;[Correlation heatmap]
The figure doesn’t show any missing values for Embarked, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Fare, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Parch, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for SibSp, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Age, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Sex, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Pclass, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,All_Histograms]
The variable Embarked can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Fare can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Parch can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable SibSp can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Age can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Sex can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Pclass can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Embarked can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable Fare can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable Parch can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable SibSp can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable Age can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
