Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 12.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 55.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 76.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 90.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 36.;[Correlation heatmap]
The figure doesn’t show any missing values for alcohol, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for sulphates, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for pH, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for density, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for total sulfur dioxide, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for free sulfur dioxide, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for chlorides, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for residual sugar, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for citric acid, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for volatile acidity, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for fixed acidity, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,All_Histograms]
The variable alcohol can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable sulphates can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable pH can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable density can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable total sulfur dioxide can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable free sulfur dioxide can be seen as ordinal.;[Scatter-plots,All_Histograms]
