Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 29.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 90.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 99.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 95.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 71.;[Correlation heatmap]
The figure doesn’t show any missing values for OD280-OD315 of diluted wines, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Hue, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Color intensity, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Proanthocyanins, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Nonflavanoid phenols, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Flavanoids, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Total phenols, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Alcalinity of ash, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Ash, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Malic acid, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Alcohol, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,All_Histograms]
The variable OD280-OD315 of diluted wines can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Hue can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Color intensity can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Proanthocyanins can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Nonflavanoid phenols can be seen as ordinal.;[Scatter-plots,All_Histograms]
