Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 51.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 11.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 91.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 98.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 12.;[Correlation heatmap]
The figure doesn’t show any missing values for native-country, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for hours-per-week, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for capital-loss, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for capital-gain, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for gender, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for race, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for relationship, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for occupation, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for marital-status, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for educational-num, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for education, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for fnlwgt, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for workclass, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for age, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,All_Histograms]
The variable native-country can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable hours-per-week can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable capital-loss can be seen as ordinal.;[Scatter-plots,All_Histograms]
