Question;Charts
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;[Nr records x nr variables]
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;[Nr records x nr variables]
We face the curse of dimensionality when training a classifier with this dataset.;[Nr records x nr variables]
The intrinsic dimensionality of this dataset is 71.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 64.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 15.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 17.;[Correlation heatmap]
The intrinsic dimensionality of this dataset is 69.;[Correlation heatmap]
The figure doesn’t show any missing values for Age, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for DiabetesPedigreeFunction, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for BMI, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Insulin, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for SkinThickness, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for BloodPressure, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Glucose, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
The figure doesn’t show any missing values for Pregnancies, but these may be hidden as some non-pre-identified value.;[Histograms + MV]
All variables, but the class, should be dealt with as symbolic.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as date.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as binary.;[Scatter-plots,All_Histograms]
All variables, but the class, should be dealt with as numeric.;[Scatter-plots,All_Histograms]
The variable Age can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable DiabetesPedigreeFunction can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable BMI can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Insulin can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable SkinThickness can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable BloodPressure can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Glucose can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Pregnancies can be seen as ordinal.;[Scatter-plots,All_Histograms]
The variable Age can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
