Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['BankNoteAuthentication_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['BankNoteAuthentication_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['BankNoteAuthentication_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['BankNoteAuthentication_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['BankNoteAuthentication_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 74.;['BankNoteAuthentication_correlation_heatmap']
The intrinsic dimensionality of this dataset is 97.;['BankNoteAuthentication_correlation_heatmap']
The intrinsic dimensionality of this dataset is 89.;['BankNoteAuthentication_correlation_heatmap']
The intrinsic dimensionality of this dataset is 50.;['BankNoteAuthentication_correlation_heatmap']
The intrinsic dimensionality of this dataset is 15.;['BankNoteAuthentication_correlation_heatmap']
The figure doesn’t show any missing values for entropy, but these may be hidden as some non-pre-identified value.;['BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_mv']
The figure doesn’t show any missing values for curtosis, but these may be hidden as some non-pre-identified value.;['BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_mv']
The figure doesn’t show any missing values for skewness, but these may be hidden as some non-pre-identified value.;['BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_mv']
The figure doesn’t show any missing values for variance, but these may be hidden as some non-pre-identified value.;['BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_mv']
All variables, but the class, should be dealt with as symbolic.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
All variables, but the class, should be dealt with as date.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
All variables, but the class, should be dealt with as binary.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
All variables, but the class, should be dealt with as numeric.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
The variable entropy can be seen as ordinal.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
The variable curtosis can be seen as ordinal.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
The variable skewness can be seen as ordinal.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
The variable variance can be seen as ordinal.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
The variable entropy can be seen as ordinal without losing information.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
The variable curtosis can be seen as ordinal without losing information.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
The variable skewness can be seen as ordinal without losing information.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
The variable variance can be seen as ordinal without losing information.;['BankNoteAuthentication_scatter-plots', 'BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_histograms_symbolic']
Variable entropy is balanced.;['BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_boxplots']
Variable curtosis is balanced.;['BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_boxplots']
Variable skewness is balanced.;['BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_boxplots']
Variable variance is balanced.;['BankNoteAuthentication_histograms_numeric', 'BankNoteAuthentication_boxplots']
Those boxplots show that the data is not normalized.;['BankNoteAuthentication_boxplots']
It is clear that variable curtosis shows some outliers, but we can’t be sure of the same for variable entropy.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable skewness shows some outliers, but we can’t be sure of the same for variable entropy.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable variance shows some outliers, but we can’t be sure of the same for variable entropy.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable entropy shows some outliers, but we can’t be sure of the same for variable curtosis.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable skewness shows some outliers, but we can’t be sure of the same for variable curtosis.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable variance shows some outliers, but we can’t be sure of the same for variable curtosis.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable entropy shows some outliers, but we can’t be sure of the same for variable skewness.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable curtosis shows some outliers, but we can’t be sure of the same for variable skewness.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable variance shows some outliers, but we can’t be sure of the same for variable skewness.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable entropy shows some outliers, but we can’t be sure of the same for variable variance.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable curtosis shows some outliers, but we can’t be sure of the same for variable variance.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
It is clear that variable skewness shows some outliers, but we can’t be sure of the same for variable variance.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Outliers seem to be a problem in the dataset.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable entropy shows a high number of outlier values.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable curtosis shows a high number of outlier values.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable skewness shows a high number of outlier values.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable variance shows a high number of outlier values.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable entropy shows some outlier values.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable curtosis shows some outlier values.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable skewness shows some outlier values.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable variance shows some outlier values.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
Variable entropy doesn’t have any outliers.;['BankNoteAuthentication_boxplots', 'BankNoteAuthentication_histograms_numeric']
