Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['Churn_Modelling_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['Churn_Modelling_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['Churn_Modelling_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['Churn_Modelling_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['Churn_Modelling_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 43.;['Churn_Modelling_correlation_heatmap']
The intrinsic dimensionality of this dataset is 22.;['Churn_Modelling_correlation_heatmap']
The intrinsic dimensionality of this dataset is 98.;['Churn_Modelling_correlation_heatmap']
The intrinsic dimensionality of this dataset is 89.;['Churn_Modelling_correlation_heatmap']
The intrinsic dimensionality of this dataset is 86.;['Churn_Modelling_correlation_heatmap']
The figure doesn’t show any missing values for EstimatedSalary, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for IsActiveMember, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for HasCrCard, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for NumOfProducts, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for Balance, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for Tenure, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for Age, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for Gender, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for Geography, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
The figure doesn’t show any missing values for CreditScore, but these may be hidden as some non-pre-identified value.;['Churn_Modelling_histograms_numeric', 'Churn_Modelling_mv']
All variables, but the class, should be dealt with as symbolic.;['Churn_Modelling_scatter-plots', 'Churn_Modelling_histograms']
All variables, but the class, should be dealt with as date.;['Churn_Modelling_scatter-plots', 'Churn_Modelling_histograms']
All variables, but the class, should be dealt with as binary.;['Churn_Modelling_scatter-plots', 'Churn_Modelling_histograms']
