Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['Iris_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['Iris_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['Iris_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['Iris_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['Iris_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 29.;['Iris_correlation_heatmap']
The intrinsic dimensionality of this dataset is 21.;['Iris_correlation_heatmap']
The intrinsic dimensionality of this dataset is 44.;['Iris_correlation_heatmap']
The intrinsic dimensionality of this dataset is 91.;['Iris_correlation_heatmap']
The intrinsic dimensionality of this dataset is 100.;['Iris_correlation_heatmap']
The figure doesn’t show any missing values for PetalWidthCm, but these may be hidden as some non-pre-identified value.;['Iris_histograms_numeric', 'Iris_mv']
The figure doesn’t show any missing values for PetalLengthCm, but these may be hidden as some non-pre-identified value.;['Iris_histograms_numeric', 'Iris_mv']
The figure doesn’t show any missing values for SepalWidthCm, but these may be hidden as some non-pre-identified value.;['Iris_histograms_numeric', 'Iris_mv']
The figure doesn’t show any missing values for SepalLengthCm, but these may be hidden as some non-pre-identified value.;['Iris_histograms_numeric', 'Iris_mv']
All variables, but the class, should be dealt with as symbolic.;['Iris_scatter-plots', 'Iris_histograms']
All variables, but the class, should be dealt with as date.;['Iris_scatter-plots', 'Iris_histograms']
All variables, but the class, should be dealt with as binary.;['Iris_scatter-plots', 'Iris_histograms']
All variables, but the class, should be dealt with as numeric.;['Iris_scatter-plots', 'Iris_histograms']
The variable PetalWidthCm can be seen as ordinal.;['Iris_scatter-plots', 'Iris_histograms']
The variable PetalLengthCm can be seen as ordinal.;['Iris_scatter-plots', 'Iris_histograms']
The variable SepalWidthCm can be seen as ordinal.;['Iris_scatter-plots', 'Iris_histograms']
The variable SepalLengthCm can be seen as ordinal.;['Iris_scatter-plots', 'Iris_histograms']
The variable PetalWidthCm can be seen as ordinal without losing information.;['Iris_scatter-plots', 'Iris_histograms']
The variable PetalLengthCm can be seen as ordinal without losing information.;['Iris_scatter-plots', 'Iris_histograms']
The variable SepalWidthCm can be seen as ordinal without losing information.;['Iris_scatter-plots', 'Iris_histograms']
The variable SepalLengthCm can be seen as ordinal without losing information.;['Iris_scatter-plots', 'Iris_histograms']
Variable PetalWidthCm is balanced.;['Iris_histograms_numeric', 'Iris_boxplots']
Variable PetalLengthCm is balanced.;['Iris_histograms_numeric', 'Iris_boxplots']
Variable SepalWidthCm is balanced.;['Iris_histograms_numeric', 'Iris_boxplots']
Variable SepalLengthCm is balanced.;['Iris_histograms_numeric', 'Iris_boxplots']
Those boxplots show that the data is not normalized.;['Iris_boxplots']
It is clear that variable PetalLengthCm shows some outliers, but we can’t be sure of the same for variable PetalWidthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable SepalWidthCm shows some outliers, but we can’t be sure of the same for variable PetalWidthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable SepalLengthCm shows some outliers, but we can’t be sure of the same for variable PetalWidthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable PetalWidthCm shows some outliers, but we can’t be sure of the same for variable PetalLengthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable SepalWidthCm shows some outliers, but we can’t be sure of the same for variable PetalLengthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable SepalLengthCm shows some outliers, but we can’t be sure of the same for variable PetalLengthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable PetalWidthCm shows some outliers, but we can’t be sure of the same for variable SepalWidthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable PetalLengthCm shows some outliers, but we can’t be sure of the same for variable SepalWidthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable SepalLengthCm shows some outliers, but we can’t be sure of the same for variable SepalWidthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable PetalWidthCm shows some outliers, but we can’t be sure of the same for variable SepalLengthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable PetalLengthCm shows some outliers, but we can’t be sure of the same for variable SepalLengthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
It is clear that variable SepalWidthCm shows some outliers, but we can’t be sure of the same for variable SepalLengthCm.;['Iris_boxplots', 'Iris_histograms_numeric']
Outliers seem to be a problem in the dataset.;['Iris_boxplots', 'Iris_histograms_numeric']
Variable PetalWidthCm shows a high number of outlier values.;['Iris_boxplots', 'Iris_histograms_numeric']
Variable PetalLengthCm shows a high number of outlier values.;['Iris_boxplots', 'Iris_histograms_numeric']
Variable SepalWidthCm shows a high number of outlier values.;['Iris_boxplots', 'Iris_histograms_numeric']
