Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['Titanic_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['Titanic_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['Titanic_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['Titanic_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['Titanic_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 38.;['Titanic_correlation_heatmap']
The intrinsic dimensionality of this dataset is 12.;['Titanic_correlation_heatmap']
The intrinsic dimensionality of this dataset is 47.;['Titanic_correlation_heatmap']
The intrinsic dimensionality of this dataset is 93.;['Titanic_correlation_heatmap']
The intrinsic dimensionality of this dataset is 50.;['Titanic_correlation_heatmap']
The figure doesn’t show any missing values for Embarked, but these may be hidden as some non-pre-identified value.;['Titanic_histograms_numeric', 'Titanic_mv']
The figure doesn’t show any missing values for Fare, but these may be hidden as some non-pre-identified value.;['Titanic_histograms_numeric', 'Titanic_mv']
The figure doesn’t show any missing values for Parch, but these may be hidden as some non-pre-identified value.;['Titanic_histograms_numeric', 'Titanic_mv']
The figure doesn’t show any missing values for SibSp, but these may be hidden as some non-pre-identified value.;['Titanic_histograms_numeric', 'Titanic_mv']
The figure doesn’t show any missing values for Age, but these may be hidden as some non-pre-identified value.;['Titanic_histograms_numeric', 'Titanic_mv']
The figure doesn’t show any missing values for Sex, but these may be hidden as some non-pre-identified value.;['Titanic_histograms_numeric', 'Titanic_mv']
The figure doesn’t show any missing values for Pclass, but these may be hidden as some non-pre-identified value.;['Titanic_histograms_numeric', 'Titanic_mv']
All variables, but the class, should be dealt with as symbolic.;['Titanic_scatter-plots', 'Titanic_histograms']
All variables, but the class, should be dealt with as date.;['Titanic_scatter-plots', 'Titanic_histograms']
All variables, but the class, should be dealt with as binary.;['Titanic_scatter-plots', 'Titanic_histograms']
All variables, but the class, should be dealt with as numeric.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Embarked can be seen as ordinal.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Fare can be seen as ordinal.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Parch can be seen as ordinal.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable SibSp can be seen as ordinal.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Age can be seen as ordinal.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Sex can be seen as ordinal.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Pclass can be seen as ordinal.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Embarked can be seen as ordinal without losing information.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Fare can be seen as ordinal without losing information.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Parch can be seen as ordinal without losing information.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable SibSp can be seen as ordinal without losing information.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Age can be seen as ordinal without losing information.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Sex can be seen as ordinal without losing information.;['Titanic_scatter-plots', 'Titanic_histograms']
The variable Pclass can be seen as ordinal without losing information.;['Titanic_scatter-plots', 'Titanic_histograms']
Variable Fare is balanced.;['Titanic_histograms_numeric', 'Titanic_boxplots']
Variable Parch is balanced.;['Titanic_histograms_numeric', 'Titanic_boxplots']
Variable SibSp is balanced.;['Titanic_histograms_numeric', 'Titanic_boxplots']
Variable Age is balanced.;['Titanic_histograms_numeric', 'Titanic_boxplots']
Variable Pclass is balanced.;['Titanic_histograms_numeric', 'Titanic_boxplots']
Those boxplots show that the data is not normalized.;['Titanic_boxplots']
It is clear that variable Parch shows some outliers, but we can’t be sure of the same for variable Fare.;['Titanic_boxplots', 'Titanic_histograms_numeric']
It is clear that variable SibSp shows some outliers, but we can’t be sure of the same for variable Fare.;['Titanic_boxplots', 'Titanic_histograms_numeric']
It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable Fare.;['Titanic_boxplots', 'Titanic_histograms_numeric']
It is clear that variable Pclass shows some outliers, but we can’t be sure of the same for variable Fare.;['Titanic_boxplots', 'Titanic_histograms_numeric']
It is clear that variable Fare shows some outliers, but we can’t be sure of the same for variable Parch.;['Titanic_boxplots', 'Titanic_histograms_numeric']
