Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['Wine_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['Wine_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['Wine_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['Wine_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['Wine_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 29.;['Wine_correlation_heatmap']
The intrinsic dimensionality of this dataset is 90.;['Wine_correlation_heatmap']
The intrinsic dimensionality of this dataset is 99.;['Wine_correlation_heatmap']
The intrinsic dimensionality of this dataset is 95.;['Wine_correlation_heatmap']
The intrinsic dimensionality of this dataset is 71.;['Wine_correlation_heatmap']
The figure doesn’t show any missing values for OD280-OD315 of diluted wines, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Hue, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Color intensity, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Proanthocyanins, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Nonflavanoid phenols, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Flavanoids, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Total phenols, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Alcalinity of ash, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Ash, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Malic acid, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
The figure doesn’t show any missing values for Alcohol, but these may be hidden as some non-pre-identified value.;['Wine_histograms_numeric', 'Wine_mv']
All variables, but the class, should be dealt with as symbolic.;['Wine_scatter-plots', 'Wine_histograms']
All variables, but the class, should be dealt with as date.;['Wine_scatter-plots', 'Wine_histograms']
All variables, but the class, should be dealt with as binary.;['Wine_scatter-plots', 'Wine_histograms']
All variables, but the class, should be dealt with as numeric.;['Wine_scatter-plots', 'Wine_histograms']
The variable OD280-OD315 of diluted wines can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Hue can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Color intensity can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Proanthocyanins can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Nonflavanoid phenols can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Flavanoids can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Total phenols can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Alcalinity of ash can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Ash can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Malic acid can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable Alcohol can be seen as ordinal.;['Wine_scatter-plots', 'Wine_histograms']
The variable OD280-OD315 of diluted wines can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Hue can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Color intensity can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Proanthocyanins can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Nonflavanoid phenols can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Flavanoids can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Total phenols can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Alcalinity of ash can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Ash can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Malic acid can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
The variable Alcohol can be seen as ordinal without losing information.;['Wine_scatter-plots', 'Wine_histograms']
Variable OD280-OD315 of diluted wines is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Hue is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Color intensity is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Proanthocyanins is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Nonflavanoid phenols is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Flavanoids is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Total phenols is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Alcalinity of ash is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Ash is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Malic acid is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Alcohol is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Variable Class is balanced.;['Wine_histograms_numeric', 'Wine_boxplots']
Those boxplots show that the data is not normalized.;['Wine_boxplots']
It is clear that variable Hue shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Color intensity shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Proanthocyanins shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Nonflavanoid phenols shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Flavanoids shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Total phenols shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Alcalinity of ash shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Ash shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Malic acid shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Alcohol shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
It is clear that variable Class shows some outliers, but we can’t be sure of the same for variable OD280-OD315 of diluted wines.;['Wine_boxplots', 'Wine_histograms_numeric']
