Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['adult_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['adult_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['adult_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['adult_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['adult_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 51.;['adult_correlation_heatmap']
The intrinsic dimensionality of this dataset is 11.;['adult_correlation_heatmap']
The intrinsic dimensionality of this dataset is 91.;['adult_correlation_heatmap']
The intrinsic dimensionality of this dataset is 98.;['adult_correlation_heatmap']
The intrinsic dimensionality of this dataset is 12.;['adult_correlation_heatmap']
The figure doesn’t show any missing values for native-country, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for hours-per-week, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for capital-loss, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for capital-gain, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for gender, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for race, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for relationship, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for occupation, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for marital-status, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for educational-num, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for education, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for fnlwgt, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for workclass, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
The figure doesn’t show any missing values for age, but these may be hidden as some non-pre-identified value.;['adult_histograms_numeric', 'adult_mv']
All variables, but the class, should be dealt with as symbolic.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
All variables, but the class, should be dealt with as date.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
All variables, but the class, should be dealt with as binary.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
All variables, but the class, should be dealt with as numeric.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable native-country can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable hours-per-week can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable capital-loss can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable capital-gain can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable gender can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable race can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable relationship can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable occupation can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable marital-status can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable educational-num can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable education can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable fnlwgt can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable workclass can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable age can be seen as ordinal.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable native-country can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable hours-per-week can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable capital-loss can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable capital-gain can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable gender can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable race can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable relationship can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable occupation can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable marital-status can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable educational-num can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable education can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable fnlwgt can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable workclass can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
The variable age can be seen as ordinal without losing information.;['adult_scatter-plots', 'adult_histograms_numeric', 'adult_histograms_symbolic']
Variable hours-per-week is balanced.;['adult_histograms_numeric', 'adult_boxplots']
Variable capital-loss is balanced.;['adult_histograms_numeric', 'adult_boxplots']
Variable capital-gain is balanced.;['adult_histograms_numeric', 'adult_boxplots']
Variable educational-num is balanced.;['adult_histograms_numeric', 'adult_boxplots']
Variable fnlwgt is balanced.;['adult_histograms_numeric', 'adult_boxplots']
Variable age is balanced.;['adult_histograms_numeric', 'adult_boxplots']
Those boxplots show that the data is not normalized.;['adult_boxplots']
