Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['heart_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['heart_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['heart_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['heart_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['heart_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 47.;['heart_correlation_heatmap']
The intrinsic dimensionality of this dataset is 49.;['heart_correlation_heatmap']
The intrinsic dimensionality of this dataset is 16.;['heart_correlation_heatmap']
The intrinsic dimensionality of this dataset is 97.;['heart_correlation_heatmap']
The intrinsic dimensionality of this dataset is 74.;['heart_correlation_heatmap']
The figure doesn’t show any missing values for thal, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for ca, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for slope, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for oldpeak, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for exang, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for thalach, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for restecg, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for fbs, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for chol, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for trestbps, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for cp, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for sex, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
The figure doesn’t show any missing values for age, but these may be hidden as some non-pre-identified value.;['heart_histograms_numeric', 'heart_mv']
All variables, but the class, should be dealt with as symbolic.;['heart_scatter-plots', 'heart_histograms']
All variables, but the class, should be dealt with as date.;['heart_scatter-plots', 'heart_histograms']
All variables, but the class, should be dealt with as binary.;['heart_scatter-plots', 'heart_histograms']
All variables, but the class, should be dealt with as numeric.;['heart_scatter-plots', 'heart_histograms']
The variable thal can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable ca can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable slope can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable oldpeak can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable exang can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable thalach can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable restecg can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable fbs can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable chol can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable trestbps can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable cp can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable sex can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable age can be seen as ordinal.;['heart_scatter-plots', 'heart_histograms']
The variable thal can be seen as ordinal without losing information.;['heart_scatter-plots', 'heart_histograms']
The variable ca can be seen as ordinal without losing information.;['heart_scatter-plots', 'heart_histograms']
