Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['vehicle_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['vehicle_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['vehicle_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['vehicle_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['vehicle_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 82.;['vehicle_correlation_heatmap']
The intrinsic dimensionality of this dataset is 33.;['vehicle_correlation_heatmap']
The intrinsic dimensionality of this dataset is 84.;['vehicle_correlation_heatmap']
The intrinsic dimensionality of this dataset is 62.;['vehicle_correlation_heatmap']
The intrinsic dimensionality of this dataset is 89.;['vehicle_correlation_heatmap']
The figure doesn’t show any missing values for HOLLOWS RATIO, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for MAJORKURTOSIS, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for MINORKURTOSIS, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for MINORSKEWNESS, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for MAJORSKEWNESS, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for GYRATIONRADIUS, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for MINORVARIANCE, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for MAJORVARIANCE, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for LENGTHRECTANGULAR, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for PR AXISRECTANGULAR, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
The figure doesn’t show any missing values for ELONGATEDNESS, but these may be hidden as some non-pre-identified value.;['vehicle_histograms_numeric', 'vehicle_mv']
