no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,lead_time,arrival_month,arrival_date,avg_price_per_room,no_of_special_requests,booking_status
1.0,0.0,0.0,1.0,4.0,11.0,8.0,94.0,0.0,Not_Canceled
1.0,0.0,2.0,0.0,386.0,10.0,23.0,90.0,1.0,Canceled
2.0,0.0,0.0,4.0,89.0,8.0,11.0,76.5,0.0,Canceled
2.0,0.0,1.0,0.0,180.0,11.0,13.0,54.75,2.0,Not_Canceled
1.0,0.0,1.0,0.0,6.0,12.0,18.0,88.0,1.0,Not_Canceled
2.0,0.0,2.0,2.0,7.0,8.0,7.0,151.0,0.0,Canceled
1.0,0.0,0.0,1.0,0.0,2.0,16.0,65.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,13.0,4.0,14.0,131.6,0.0,Not_Canceled
2.0,0.0,0.0,1.0,34.0,9.0,2.0,99.0,1.0,Canceled
2.0,0.0,2.0,0.0,48.0,9.0,11.0,85.5,0.0,Not_Canceled
2.0,0.0,2.0,3.0,14.0,8.0,19.0,178.8,0.0,Canceled
3.0,0.0,0.0,5.0,5.0,10.0,4.0,229.46,0.0,Canceled
2.0,0.0,1.0,5.0,110.0,8.0,1.0,120.3,1.0,Not_Canceled
2.0,0.0,1.0,2.0,157.0,10.0,3.0,108.0,0.0,Canceled
1.0,0.0,0.0,1.0,36.0,3.0,1.0,86.5,0.0,Not_Canceled
2.0,0.0,1.0,2.0,47.0,2.0,26.0,81.5,1.0,Not_Canceled
2.0,0.0,1.0,1.0,21.0,2.0,13.0,91.0,0.0,Canceled
2.0,0.0,1.0,2.0,60.0,4.0,1.0,92.7,1.0,Canceled
2.0,1.0,0.0,2.0,44.0,10.0,28.0,100.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,113.0,3.0,25.0,58.0,1.0,Not_Canceled
1.0,0.0,2.0,2.0,229.0,10.0,22.0,80.75,0.0,Canceled
2.0,0.0,2.0,1.0,128.0,7.0,2.0,96.3,1.0,Not_Canceled
2.0,1.0,0.0,1.0,9.0,12.0,10.0,0.0,1.0,Not_Canceled
2.0,0.0,1.0,3.0,106.0,11.0,21.0,117.3,2.0,Canceled
2.0,0.0,2.0,1.0,97.0,10.0,30.0,79.8,1.0,Canceled
2.0,1.0,1.0,3.0,1.0,3.0,21.0,129.0,2.0,Not_Canceled
1.0,0.0,1.0,5.0,32.0,12.0,27.0,63.33,0.0,Not_Canceled
2.0,0.0,0.0,2.0,0.0,7.0,27.0,154.0,0.0,Not_Canceled
2.0,0.0,1.0,0.0,82.0,6.0,27.0,96.3,0.0,Canceled
1.0,0.0,0.0,3.0,13.0,3.0,2.0,80.0,0.0,Not_Canceled
1.0,0.0,0.0,1.0,14.0,10.0,15.0,100.0,0.0,Not_Canceled
1.0,0.0,1.0,2.0,0.0,1.0,4.0,66.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,30.0,6.0,2.0,140.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,13.0,8.0,20.0,90.0,2.0,Not_Canceled
2.0,0.0,0.0,2.0,320.0,8.0,18.0,115.0,1.0,Canceled
2.0,0.0,2.0,1.0,28.0,3.0,5.0,105.8,0.0,Canceled
2.0,0.0,0.0,1.0,105.0,4.0,6.0,75.0,0.0,Canceled
2.0,0.0,0.0,3.0,57.0,6.0,8.0,117.9,0.0,Canceled
1.0,0.0,0.0,1.0,2.0,3.0,2.0,55.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,48.0,10.0,2.0,73.51,0.0,Not_Canceled
2.0,0.0,2.0,1.0,83.0,12.0,18.0,75.0,0.0,Not_Canceled
1.0,0.0,0.0,2.0,91.0,9.0,14.0,65.0,0.0,Not_Canceled
2.0,2.0,1.0,3.0,9.0,2.0,25.0,182.0,0.0,Not_Canceled
1.0,0.0,0.0,1.0,2.0,4.0,23.0,131.0,0.0,Not_Canceled
1.0,0.0,0.0,1.0,14.0,9.0,28.0,119.0,1.0,Not_Canceled
1.0,0.0,1.0,2.0,19.0,5.0,2.0,120.0,0.0,Not_Canceled
2.0,0.0,1.0,3.0,23.0,9.0,26.0,119.0,1.0,Canceled
1.0,0.0,1.0,1.0,45.0,11.0,19.0,86.4,0.0,Canceled
2.0,0.0,1.0,3.0,5.0,4.0,14.0,138.5,1.0,Not_Canceled
1.0,0.0,1.0,2.0,219.0,9.0,4.0,76.67,0.0,Not_Canceled
2.0,0.0,2.0,6.0,2.0,11.0,16.0,92.54,2.0,Not_Canceled
1.0,0.0,1.0,0.0,36.0,10.0,16.0,107.1,1.0,Canceled
2.0,0.0,0.0,2.0,104.0,10.0,6.0,114.0,1.0,Canceled
2.0,0.0,1.0,4.0,270.0,12.0,7.0,68.0,0.0,Not_Canceled
3.0,0.0,1.0,2.0,32.0,5.0,13.0,184.99,2.0,Not_Canceled
2.0,0.0,2.0,1.0,53.0,3.0,6.0,96.3,0.0,Canceled
2.0,0.0,0.0,2.0,107.0,6.0,10.0,130.0,1.0,Not_Canceled
2.0,0.0,2.0,3.0,276.0,5.0,13.0,61.0,0.0,Canceled
2.0,2.0,2.0,1.0,109.0,10.0,29.0,159.9,0.0,Canceled
1.0,0.0,1.0,0.0,5.0,11.0,28.0,77.0,0.0,Not_Canceled
1.0,0.0,0.0,3.0,13.0,6.0,14.0,65.0,0.0,Not_Canceled
2.0,0.0,2.0,0.0,223.0,10.0,4.0,89.25,2.0,Canceled
3.0,0.0,1.0,1.0,267.0,12.0,31.0,121.5,0.0,Not_Canceled
2.0,0.0,2.0,1.0,102.0,5.0,29.0,80.75,0.0,Not_Canceled
2.0,0.0,3.0,6.0,104.0,7.0,18.0,120.8,3.0,Not_Canceled
2.0,0.0,2.0,4.0,2.0,1.0,2.0,86.32,0.0,Not_Canceled
2.0,0.0,2.0,3.0,55.0,10.0,23.0,72.25,0.0,Not_Canceled
1.0,0.0,0.0,3.0,0.0,8.0,18.0,178.33,1.0,Not_Canceled
2.0,0.0,0.0,2.0,39.0,8.0,14.0,109.0,0.0,Not_Canceled
