From Bank,To Bank,Amount Received,Amount Paid,Is_Laundering
217.0,216.0,4660.12,4660.12,0
423.0,34851.0,39.75,39.75,0
62667.0,28644.0,4931.89,4931.89,0
12702.0,5033.0,142.02,142.02,0
27425.0,7080.0,2190.92,2190.92,0
1638.0,270107.0,382575.69,382575.69,0
11.0,16.0,61.56,61.56,0
157900.0,113.0,22609.12,22609.12,0
21876.0,5383.0,95.72,95.72,0
9534.0,27.0,1427.65,1427.65,0
14620.0,7058.0,18616.66,18616.66,0
12386.0,239436.0,619.27,619.27,0
70.0,531.0,152.8,152.8,0
0.0,14003.0,5.38,5.38,0
5893.0,15.0,1506.53,1506.53,0
27.0,111425.0,341949.94,341949.94,0
73607.0,272717.0,0.010261,0.010261,0
70.0,118.0,0.079886,0.079886,0
23486.0,228569.0,28105.18,28105.18,0
2557.0,6090.0,200.59,200.59,0
14.0,225784.0,1272.94,1272.94,0
14213.0,25885.0,310.69,310.69,0
11437.0,14620.0,103.41,103.41,0
13210.0,15680.0,179318.25,179318.25,0
70.0,126991.0,8946.34,8946.34,0
217073.0,215620.0,23737.23,23737.23,0
17.0,16.0,546.49,546.49,0
18121.0,12386.0,143.4,143.4,0
22547.0,1889.0,508.7,508.7,0
18.0,18.0,48306.8,48306.8,0
165768.0,264772.0,275.84,275.84,0
5923.0,225418.0,120.31,120.31,0
12503.0,18076.0,1583.92,1583.92,0
70.0,270308.0,0.091926,0.091926,0
27.0,15885.0,1302.3,1302.3,0
49096.0,52308.0,354916.34,354916.34,0
7530.0,6058.0,1001162.73,1001162.73,0
48055.0,11.0,1065.01,1065.01,0
15640.0,22106.0,254.24,254.24,0
25400.0,129589.0,103.05,103.05,0
8.0,135933.0,3318.67,3318.67,0
49096.0,52308.0,94294.81,94294.81,0
70.0,123440.0,1056.69,1056.69,0
18.0,27.0,50960.54,50960.54,0
10.0,236335.0,5348.64,5348.64,0
70.0,2196.0,238.89,238.89,0
220270.0,112438.0,1.23,1.23,0
136009.0,240424.0,71.7,71.7,0
14.0,2.0,267323.1,267323.1,0
217215.0,231026.0,4.43,4.43,0
11756.0,13577.0,701.48,701.48,0
217.0,217.0,0.012353,0.012353,0
69289.0,270392.0,0.332271,0.332271,0
130821.0,233005.0,189.36,189.36,0
29.0,29.0,2209.28,1869.32,0
11437.0,6681.0,245911.77,245911.77,0
1217.0,217862.0,1280.65,1280.65,0
11968.0,15355.0,86.5,86.5,0
19.0,40904.0,207.07,207.07,0
126455.0,223281.0,76.57,76.57,0
692.0,8997.0,34394.96,34394.96,0
3460.0,12202.0,21523.59,21523.59,0
16293.0,15400.0,1247.38,1247.38,0
21393.0,131787.0,195.69,195.69,0
18076.0,19622.0,230.72,230.72,0
8814.0,13354.0,1211.39,1211.39,0
70.0,20.0,1575.84,1575.84,0
220421.0,21643.0,15174.21,15174.21,0
8540.0,235805.0,4059.64,4059.64,0
692.0,211738.0,5304.46,5304.46,0
19.0,11.0,221.19,221.19,0
48719.0,50453.0,2840469.01,2840469.01,0
273006.0,173079.0,0.129612,0.129612,0
4308.0,212418.0,980.1,980.1,0
17036.0,27436.0,101.7,101.7,0
169671.0,70949.0,2.374071,2.374071,0
215128.0,12101.0,2777.95,2777.95,0
12.0,115.0,30772.72,30772.72,0
219011.0,52130.0,154.06,154.06,0
110593.0,228716.0,11332.79,11332.79,0
70.0,18840.0,621.39,621.39,0
70.0,160428.0,44147.09,44147.09,0
71716.0,72523.0,0.200314,0.200314,0
29.0,24.0,3952.07,3952.07,0
14003.0,129759.0,3273.61,3273.61,0
27.0,232125.0,295235.91,295235.91,0
216093.0,49308.0,13167.22,13167.22,0
23726.0,2293.0,179.58,179.58,0
210472.0,146538.0,929.05,929.05,0
5572.0,29448.0,883.47,883.47,0
22124.0,349.0,256.48,256.48,0
21939.0,110856.0,1255.37,1255.37,0
215239.0,23.0,10478427.05,10478427.05,0
70.0,141352.0,170.88,170.88,0
31635.0,28195.0,13580.46,13580.46,0
