duration,credit_amount,installment_commitment,residence_since,age,existing_credits,class
15.0,1537.0,4.0,4.0,50.0,2.0,good
10.0,894.0,4.0,3.0,40.0,1.0,good
48.0,8358.0,1.0,1.0,30.0,2.0,good
18.0,1880.0,4.0,1.0,32.0,2.0,good
12.0,707.0,4.0,2.0,30.0,2.0,good
9.0,1670.0,4.0,2.0,22.0,1.0,bad
15.0,1569.0,4.0,4.0,34.0,1.0,good
11.0,1393.0,4.0,4.0,35.0,2.0,good
12.0,1107.0,2.0,2.0,20.0,1.0,good
18.0,1913.0,3.0,3.0,36.0,1.0,good
24.0,4870.0,3.0,4.0,53.0,2.0,bad
24.0,2303.0,4.0,1.0,45.0,1.0,bad
12.0,3447.0,4.0,3.0,35.0,1.0,good
24.0,3235.0,3.0,2.0,26.0,1.0,good
48.0,12169.0,4.0,4.0,36.0,1.0,good
30.0,4249.0,4.0,2.0,28.0,2.0,bad
14.0,8978.0,1.0,4.0,45.0,1.0,bad
6.0,1554.0,1.0,2.0,24.0,2.0,good
12.0,1493.0,4.0,3.0,34.0,1.0,good
20.0,7057.0,3.0,4.0,36.0,2.0,good
18.0,2775.0,2.0,2.0,31.0,2.0,bad
24.0,1525.0,4.0,3.0,34.0,1.0,good
36.0,2323.0,4.0,4.0,24.0,1.0,good
9.0,1199.0,4.0,4.0,67.0,2.0,good
24.0,6842.0,2.0,4.0,46.0,2.0,good
15.0,1829.0,4.0,4.0,46.0,2.0,good
24.0,3148.0,3.0,2.0,31.0,2.0,good
36.0,5179.0,4.0,2.0,29.0,1.0,bad
12.0,776.0,4.0,2.0,28.0,1.0,good
6.0,931.0,1.0,1.0,32.0,1.0,bad
48.0,3060.0,4.0,4.0,28.0,2.0,bad
18.0,2169.0,4.0,2.0,28.0,1.0,bad
12.0,1424.0,4.0,3.0,26.0,1.0,good
24.0,7758.0,2.0,4.0,29.0,1.0,good
12.0,1331.0,2.0,1.0,22.0,1.0,bad
21.0,3763.0,2.0,2.0,24.0,1.0,good
12.0,1620.0,2.0,3.0,30.0,1.0,good
30.0,6742.0,2.0,3.0,36.0,2.0,good
9.0,1154.0,2.0,4.0,37.0,3.0,good
10.0,781.0,4.0,4.0,63.0,2.0,good
6.0,1743.0,1.0,2.0,34.0,2.0,good
15.0,1444.0,4.0,1.0,23.0,1.0,good
15.0,1512.0,3.0,3.0,61.0,2.0,bad
36.0,3804.0,4.0,1.0,42.0,1.0,bad
60.0,7297.0,4.0,4.0,36.0,1.0,bad
12.0,2171.0,4.0,4.0,38.0,2.0,good
10.0,1048.0,4.0,4.0,23.0,1.0,good
36.0,7127.0,2.0,4.0,23.0,2.0,bad
24.0,1940.0,4.0,4.0,60.0,1.0,good
30.0,6187.0,1.0,4.0,24.0,2.0,good
36.0,2613.0,4.0,2.0,27.0,2.0,good
18.0,3509.0,4.0,1.0,25.0,1.0,good
24.0,9277.0,2.0,4.0,48.0,1.0,good
21.0,2319.0,2.0,1.0,33.0,1.0,bad
15.0,1514.0,4.0,2.0,22.0,1.0,good
9.0,276.0,4.0,4.0,22.0,1.0,good
24.0,3512.0,2.0,3.0,38.0,2.0,good
12.0,4675.0,1.0,4.0,20.0,1.0,good
48.0,3566.0,4.0,2.0,30.0,1.0,good
36.0,7678.0,2.0,4.0,40.0,2.0,good
8.0,907.0,3.0,2.0,26.0,1.0,good
18.0,1795.0,3.0,4.0,48.0,2.0,good
6.0,484.0,3.0,3.0,28.0,1.0,good
15.0,1275.0,4.0,2.0,24.0,1.0,bad
21.0,3599.0,1.0,4.0,26.0,1.0,good
30.0,4221.0,2.0,1.0,28.0,2.0,good
30.0,4280.0,4.0,4.0,26.0,2.0,bad
12.0,2578.0,3.0,4.0,55.0,1.0,good
18.0,3872.0,2.0,4.0,67.0,1.0,good
13.0,882.0,4.0,4.0,23.0,2.0,good
18.0,3780.0,3.0,2.0,35.0,2.0,good
9.0,745.0,3.0,2.0,28.0,1.0,bad
36.0,2384.0,4.0,1.0,33.0,1.0,bad
28.0,2743.0,4.0,2.0,29.0,2.0,good
60.0,6836.0,3.0,4.0,63.0,2.0,bad
20.0,2629.0,2.0,3.0,29.0,2.0,good
48.0,6560.0,3.0,2.0,24.0,1.0,bad
18.0,1295.0,4.0,1.0,27.0,2.0,good
18.0,3422.0,4.0,4.0,47.0,3.0,good
12.0,1534.0,1.0,1.0,23.0,1.0,bad
40.0,5998.0,4.0,3.0,27.0,1.0,bad
12.0,3499.0,3.0,2.0,29.0,2.0,bad
12.0,2171.0,2.0,2.0,29.0,1.0,good
18.0,2278.0,3.0,3.0,28.0,2.0,bad
12.0,766.0,4.0,3.0,66.0,1.0,bad
24.0,2760.0,4.0,4.0,36.0,1.0,good
12.0,1223.0,1.0,1.0,46.0,2.0,bad
42.0,9283.0,1.0,2.0,55.0,1.0,good
24.0,3868.0,4.0,2.0,41.0,2.0,good
18.0,2051.0,4.0,1.0,33.0,1.0,good
11.0,3905.0,2.0,2.0,36.0,2.0,good
24.0,1516.0,4.0,1.0,43.0,2.0,good
6.0,1221.0,1.0,2.0,27.0,2.0,good
18.0,1950.0,4.0,1.0,34.0,2.0,good
54.0,15945.0,3.0,4.0,58.0,1.0,bad
48.0,10222.0,4.0,3.0,37.0,1.0,good
12.0,804.0,4.0,4.0,38.0,1.0,good
15.0,1478.0,4.0,3.0,33.0,2.0,good
12.0,958.0,2.0,3.0,47.0,2.0,good
