Age,Work_Experience,Family_Size,Segmentation
52.0,4.0,1.0,B
43.0,1.0,4.0,D
38.0,9.0,4.0,C
47.0,0.0,5.0,A
31.0,4.0,2.0,B
29.0,8.0,5.0,D
53.0,1.0,5.0,B
41.0,1.0,4.0,C
48.0,1.0,3.0,C
30.0,1.0,2.0,A
42.0,0.0,2.0,D
41.0,5.0,4.0,A
49.0,5.0,3.0,D
18.0,0.0,3.0,D
42.0,8.0,3.0,C
69.0,1.0,1.0,B
48.0,1.0,4.0,B
51.0,0.0,1.0,C
38.0,1.0,4.0,C
57.0,1.0,3.0,B
48.0,2.0,2.0,C
41.0,1.0,2.0,D
86.0,0.0,1.0,C
46.0,0.0,2.0,B
78.0,1.0,2.0,B
22.0,1.0,4.0,D
76.0,1.0,1.0,B
27.0,1.0,2.0,A
86.0,0.0,2.0,A
38.0,8.0,1.0,A
62.0,1.0,4.0,C
53.0,4.0,4.0,C
38.0,1.0,1.0,C
41.0,3.0,2.0,A
36.0,1.0,2.0,A
50.0,1.0,4.0,D
49.0,1.0,2.0,A
36.0,13.0,1.0,A
63.0,0.0,2.0,A
27.0,8.0,3.0,D
50.0,9.0,1.0,A
46.0,1.0,2.0,C
33.0,0.0,1.0,A
49.0,0.0,1.0,D
55.0,0.0,4.0,C
42.0,0.0,5.0,A
36.0,6.0,4.0,B
31.0,2.0,2.0,D
21.0,1.0,4.0,D
25.0,1.0,3.0,A
60.0,0.0,6.0,A
51.0,1.0,2.0,C
71.0,1.0,2.0,C
31.0,1.0,2.0,B
77.0,1.0,2.0,C
35.0,9.0,2.0,D
18.0,0.0,3.0,B
81.0,0.0,1.0,A
55.0,1.0,1.0,B
36.0,0.0,1.0,B
20.0,0.0,4.0,A
21.0,1.0,3.0,A
42.0,3.0,4.0,A
42.0,1.0,1.0,D
35.0,5.0,2.0,D
36.0,4.0,2.0,B
83.0,0.0,2.0,D
22.0,0.0,5.0,C
19.0,1.0,4.0,A
31.0,1.0,5.0,A
19.0,0.0,5.0,A
55.0,6.0,1.0,B
36.0,5.0,1.0,A
33.0,8.0,4.0,C
58.0,0.0,4.0,A
50.0,0.0,2.0,B
46.0,1.0,5.0,D
67.0,0.0,5.0,A
18.0,0.0,4.0,D
88.0,4.0,2.0,A
43.0,14.0,1.0,D
67.0,0.0,3.0,B
68.0,1.0,1.0,C
71.0,8.0,2.0,D
