ra,dec,run,camcol,field,redshift,plate,mjd,class
120.80691,54.504385,4264.0,4.0,129.0,0.57608,3682.0,55244.0,GALAXY
238.35153,13.96428,5194.0,4.0,805.0,0.4775049,3923.0,55325.0,GALAXY
132.44396,3.0958596,2125.0,4.0,91.0,0.0002285291,3813.0,55532.0,STAR
337.06308,-0.49537024,4207.0,2.0,218.0,0.3766823,9240.0,57687.0,GALAXY
226.57964,0.46751879,752.0,5.0,555.0,0.2178668,310.0,51990.0,GALAXY
126.23669,37.034794,2777.0,4.0,134.0,-6.85236e-05,3229.0,54876.0,STAR
192.28764,-1.8162716,6121.0,1.0,150.0,0.08399258,336.0,51999.0,GALAXY
238.18266,14.45736,5194.0,5.0,803.0,0.6116589,3923.0,55325.0,GALAXY
39.365872,-3.5636933,7881.0,5.0,284.0,0.937836,9314.0,57716.0,GALAXY
184.19748,-0.44190067,756.0,2.0,457.0,0.0002067007,323.0,51615.0,STAR
342.14828,-0.36508339,4192.0,3.0,237.0,0.263395,378.0,52146.0,GALAXY
221.31829,-0.90985098,756.0,1.0,705.0,0.1462235,308.0,51662.0,GALAXY
185.98574,-2.8912643,1231.0,3.0,112.0,0.0008709513,333.0,52313.0,STAR
136.95862,20.279621,5061.0,2.0,154.0,0.9681912,9563.0,58070.0,GALAXY
29.925467,1.4574395,7717.0,2.0,529.0,0.4789628,4271.0,55507.0,GALAXY
120.11076,30.592986,2864.0,6.0,86.0,1.433107,10292.0,58113.0,QSO
152.686,7.6794487,3031.0,2.0,218.0,0.5410422,4875.0,55677.0,GALAXY
251.32253,26.855047,3918.0,2.0,372.0,0.3763873,4185.0,55469.0,GALAXY
234.79433,7.2990978,3894.0,2.0,208.0,0.5097339,4881.0,55733.0,GALAXY
359.28264,-0.36379214,4263.0,3.0,111.0,0.7042793,4216.0,55477.0,GALAXY
224.58925,0.78036742,2327.0,1.0,15.0,0.0005032888,310.0,51990.0,STAR
238.41732,10.054363,5322.0,2.0,193.0,0.4361778,4879.0,55706.0,GALAXY
228.35842,-0.88552597,2379.0,6.0,128.0,0.07182758,311.0,51665.0,GALAXY
185.36717,-2.9172495,1140.0,2.0,217.0,0.3482223,333.0,52313.0,GALAXY
196.6243,36.384839,4504.0,2.0,234.0,0.5126035,3977.0,55335.0,GALAXY
231.25818,6.9826683,3909.0,4.0,238.0,2.777505,4889.0,55709.0,QSO
15.511346,-2.1182554,7778.0,4.0,420.0,0.9181178,9309.0,58074.0,GALAXY
354.49448,-0.21529048,4263.0,3.0,79.0,0.1155639,384.0,51821.0,GALAXY
227.34115,0.29410831,756.0,4.0,745.0,0.163036,311.0,51665.0,GALAXY
120.03249,29.386853,2864.0,4.0,80.0,0.580371,10292.0,58113.0,GALAXY
116.51734,37.55375,1331.0,3.0,69.0,0.5379757,3667.0,55566.0,GALAXY
304.03787,59.859283,6182.0,4.0,26.0,-0.0001651665,2554.0,54263.0,STAR
198.82751,-2.4740868,2334.0,3.0,20.0,-3.122045e-05,340.0,51990.0,STAR
169.63973,-0.16802143,756.0,3.0,359.0,0.0002468406,3838.0,55588.0,STAR
233.9086,12.731143,5317.0,2.0,70.0,0.3474037,4891.0,55736.0,GALAXY
353.35471,-1.2233598,4145.0,1.0,66.0,0.09437437,384.0,51821.0,GALAXY
38.93867,-2.7575851,7780.0,2.0,162.0,0.8450629,9313.0,57723.0,GALAXY
185.31571,-2.0026692,1231.0,5.0,107.0,0.06244467,333.0,52313.0,GALAXY
175.20949,-2.1421382,5973.0,4.0,59.0,0.107221,328.0,52282.0,GALAXY
34.629721,-1.9770178,7780.0,4.0,133.0,0.7617419,9317.0,58070.0,GALAXY
226.24754,-0.36730843,752.0,3.0,552.0,0.2365252,310.0,51990.0,GALAXY
171.20403,-3.3228225,1140.0,1.0,122.0,0.1219475,326.0,52375.0,GALAXY
207.94825,1.6871901,6782.0,1.0,23.0,0.3220589,4039.0,55648.0,GALAXY
193.73565,-2.8040514,1231.0,3.0,163.0,0.0005111946,337.0,51997.0,STAR
213.97343,2.5775218,1458.0,4.0,595.0,0.4758169,4030.0,55634.0,GALAXY
212.24455,33.304641,4512.0,1.0,98.0,2.127572,3858.0,55273.0,QSO
176.78723,-3.0571279,1140.0,2.0,159.0,0.109433,329.0,52056.0,GALAXY
230.89553,6.8373778,3903.0,3.0,330.0,-0.0001090891,4889.0,55709.0,STAR
28.871497,-2.9810328,7780.0,2.0,94.0,0.7452013,9321.0,58069.0,GALAXY
234.87605,5.5785504,3910.0,5.0,164.0,0.2682335,4881.0,55733.0,GALAXY
196.37058,36.225274,4470.0,2.0,78.0,0.4381908,3977.0,55335.0,GALAXY
