MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainTomorrow
20.7,32.6,0.0,6.6,10.9,52.0,24.0,24.0,54.0,27.0,1017.3,1012.8,1.0,0.0,24.3,31.6,No
23.7,33.4,0.0,6.0,11.2,43.0,19.0,22.0,73.0,35.0,1014.1,1010.3,1.0,1.0,27.4,32.9,No
25.3,42.2,0.0,17.6,11.3,80.0,17.0,20.0,26.0,41.0,1010.7,1007.2,1.0,6.0,35.9,34.1,No
26.2,34.7,0.0,7.4,4.1,35.0,6.0,15.0,69.0,72.0,1011.8,1009.1,7.0,7.0,30.3,27.9,No
24.8,32.4,1.6,5.2,5.6,52.0,13.0,17.0,85.0,60.0,1011.4,1008.6,7.0,7.0,27.2,31.8,Yes
8.1,20.8,0.0,7.2,11.0,44.0,19.0,19.0,42.0,23.0,1022.1,1017.6,0.0,0.0,14.0,20.2,No
12.0,26.9,0.0,5.2,9.6,30.0,15.0,17.0,58.0,28.0,1021.5,1018.2,3.0,4.0,16.3,26.6,No
24.1,33.5,0.0,5.6,10.9,30.0,13.0,19.0,74.0,48.0,1011.4,1007.7,6.0,4.0,27.5,32.8,No
10.9,25.6,19.8,3.0,9.0,44.0,17.0,26.0,78.0,29.0,1018.0,1013.4,6.0,4.0,14.3,24.9,No
24.2,32.5,0.0,5.6,10.3,28.0,9.0,17.0,85.0,65.0,1012.8,1009.1,4.0,6.0,27.4,30.3,No
24.3,34.4,0.0,6.0,10.8,37.0,22.0,22.0,59.0,34.0,1011.5,1007.5,5.0,7.0,28.3,33.8,No
25.4,33.0,0.0,7.2,10.2,37.0,15.0,30.0,63.0,57.0,1013.0,1009.1,2.0,3.0,29.7,31.8,No
23.2,35.1,0.0,8.0,11.0,37.0,9.0,22.0,67.0,47.0,1014.4,1010.8,1.0,1.0,28.4,32.0,No
9.3,27.1,0.0,8.4,12.9,44.0,17.0,28.0,29.0,19.0,1018.4,1013.2,0.0,1.0,21.6,26.9,No
12.2,23.2,0.0,9.6,10.8,50.0,30.0,24.0,13.0,10.0,1023.8,1021.2,1.0,4.0,17.1,22.8,No
25.1,33.3,0.8,5.6,11.9,30.0,9.0,22.0,64.0,60.0,1012.5,1008.4,5.0,2.0,30.5,31.6,No
18.6,28.8,1.6,5.6,4.2,41.0,20.0,19.0,50.0,39.0,1006.0,1004.1,7.0,7.0,23.3,28.6,No
0.9,19.9,0.0,4.0,10.2,35.0,6.0,13.0,62.0,28.0,1023.5,1019.0,0.0,0.0,8.7,19.7,No
19.6,33.3,0.0,7.6,11.1,50.0,20.0,26.0,64.0,21.0,1015.4,1011.0,2.0,1.0,24.7,32.4,No
25.6,35.2,0.0,6.4,10.1,33.0,11.0,19.0,72.0,32.0,1009.0,1005.5,7.0,6.0,28.9,34.7,No
25.1,34.2,6.0,4.8,7.8,48.0,6.0,17.0,76.0,57.0,1009.8,1006.2,6.0,3.0,28.8,33.5,No
25.2,38.2,0.0,12.6,11.9,50.0,19.0,28.0,40.0,22.0,1009.9,1005.7,0.0,3.0,31.3,36.7,No
25.9,39.5,0.0,10.4,8.4,57.0,11.0,24.0,37.0,18.0,1009.8,1005.5,5.0,6.0,31.5,37.7,Yes
8.6,32.8,0.0,5.4,11.0,24.0,17.0,6.0,20.0,7.0,1016.9,1012.5,1.0,1.0,22.6,32.3,No
22.1,34.3,0.0,16.4,13.2,50.0,30.0,30.0,20.0,12.0,1009.2,1005.9,2.0,2.0,27.3,34.0,No
21.5,35.9,0.0,11.8,12.4,39.0,20.0,13.0,22.0,15.0,1011.8,1007.9,0.0,1.0,28.4,35.2,No
18.4,30.7,0.0,5.8,10.7,35.0,15.0,20.0,51.0,42.0,1012.6,1008.8,1.0,3.0,21.0,29.7,No
16.6,36.4,0.0,17.2,12.8,41.0,26.0,13.0,5.0,4.0,1017.3,1012.2,0.0,1.0,26.9,36.4,No
14.3,37.1,0.0,11.8,12.8,54.0,20.0,24.0,7.0,10.0,1016.7,1012.2,1.0,2.0,29.4,36.0,No
25.2,31.9,0.0,5.6,7.0,33.0,9.0,17.0,83.0,68.0,1011.2,1007.6,7.0,5.0,26.7,30.3,No
15.4,27.0,0.0,8.0,11.8,50.0,31.0,28.0,21.0,12.0,1020.9,1017.1,5.0,4.0,19.8,24.7,No
7.3,25.6,0.0,5.6,10.8,24.0,6.0,9.0,57.0,29.0,1017.9,1013.3,0.0,1.0,16.4,24.9,No
13.1,30.9,0.0,9.6,10.7,50.0,7.0,19.0,34.0,20.0,1019.9,1015.4,1.0,5.0,22.6,28.7,No
19.4,31.2,0.0,5.0,10.5,28.0,13.0,19.0,61.0,43.0,1012.0,1008.9,1.0,2.0,25.0,30.7,No
21.7,35.0,0.0,16.0,9.5,85.0,37.0,46.0,6.0,17.0,1006.8,1003.9,2.0,4.0,30.3,32.9,No
