Area,Perimeter,MinorAxisLength,AspectRation,Eccentricity,EquivDiameter,Extent,Solidity,roundness,ShapeFactor1,Class
28395,610.291,173.888747,1.197191424,0.549812187,190.1410973,0.763922518,0.988855999,0.958027126,0.007331506,SEKER
28734,638.018,182.7344194,1.097356461,0.411785251,191.2727505,0.783968133,0.984985603,0.887033637,0.006978659,SEKER
29380,624.11,175.9311426,1.209712656,0.562727317,193.4109041,0.778113248,0.989558774,0.947849473,0.007243912,SEKER
30008,645.884,182.5165157,1.153638059,0.498615976,195.4670618,0.782681273,0.976695743,0.903936374,0.007016729,SEKER
30140,620.134,190.2792788,1.06079802,0.333679658,195.896503,0.773098035,0.99089325,0.984877069,0.00669701,SEKER
30279,634.927,181.5101816,1.171066849,0.52040066,196.3477022,0.775688485,0.989509804,0.943851783,0.007020065,SEKER
30477,670.033,184.0390501,1.146768336,0.489477894,196.9886332,0.762401501,0.984081369,0.853079869,0.006924899,SEKER
30519,629.727,182.7372038,1.165590535,0.513759558,197.1243203,0.770681818,0.989366875,0.967109244,0.006979152,SEKER
30685,635.681,183.1571463,1.165852108,0.51408086,197.659696,0.771561479,0.988435769,0.954239808,0.00695891,SEKER
30834,631.934,180.8974686,1.2008339,0.553642225,198.1390121,0.783682806,0.990809769,0.97027823,0.007045074,SEKER
30917,640.765,184.4398709,1.157884618,0.504102365,198.4055115,0.770805285,0.988395141,0.94625818,0.006907529,SEKER
31091,638.558,188.3268476,1.117664622,0.446621924,198.9630385,0.786377317,0.988333651,0.958172836,0.006770006,SEKER
31107,640.594,184.9692526,1.160455295,0.507365875,199.0142269,0.761046142,0.989943672,0.952581757,0.006900329,SEKER
31158,642.626,183.6443122,1.178826797,0.529514251,199.1773023,0.798759229,0.989394132,0.948119004,0.00694797,SEKER
31158,641.105,187.1929601,1.132879009,0.469924157,199.1773023,0.781313473,0.989959967,0.952623101,0.006806181,SEKER
31178,636.888,186.5620882,1.141582018,0.482352224,199.2412169,0.764110482,0.989149746,0.965899596,0.006830968,SEKER
31202,644.454,184.4716842,1.168963657,0.517871223,199.3178875,0.779192888,0.988249454,0.944079243,0.006911118,SEKER
31203,639.782,184.8748759,1.163315112,0.510946829,199.3210815,0.762984155,0.988750871,0.957948542,0.006892534,SEKER
31272,638.666,187.535939,1.132851229,0.469883494,199.5413417,0.770322199,0.989839521,0.963425036,0.006793627,SEKER
31335,635.011,184.1634403,1.177161395,0.52758671,199.7422367,0.774277242,0.991645305,0.976510834,0.006918465,SEKER
31374,636.401,182.0088637,1.207992784,0.56099452,199.8664991,0.769196823,0.99272244,0.973459862,0.007007885,SEKER
31530,638.857,188.0664823,1.136755746,0.475535642,200.3627781,0.768949371,0.991790129,0.970792739,0.006780389,SEKER
