Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedOnTime
D,Flight,4,2,177,3,low,F,44,1233,Yes
F,Flight,4,5,216,2,low,M,59,3088,Yes
A,Flight,2,2,183,4,low,M,48,3374,Yes
B,Flight,3,3,176,4,medium,M,10,1177,Yes
C,Flight,2,2,184,3,medium,F,46,2484,Yes
F,Flight,3,1,162,3,medium,F,12,1417,Yes
D,Flight,3,4,250,3,low,F,3,2371,Yes
F,Flight,4,1,233,2,low,F,48,2804,Yes
A,Flight,3,4,150,3,low,F,11,1861,Yes
B,Flight,3,2,164,3,medium,F,29,1187,Yes
C,Flight,3,4,189,2,medium,M,12,2888,Yes
F,Flight,4,5,232,3,medium,F,32,3253,Yes
D,Flight,3,5,198,3,medium,F,1,3667,Yes
F,Flight,4,4,275,3,high,M,29,2602,Yes
A,Flight,4,3,152,3,low,M,43,1009,Yes
B,Flight,4,3,227,3,low,F,45,2707,Yes
C,Flight,3,4,143,2,medium,F,6,1194,Yes
F,Ship,5,5,227,3,medium,M,36,3952,Yes
D,Ship,5,5,239,3,high,M,18,2495,Yes
F,Ship,4,5,145,3,medium,M,45,1059,Yes
A,Ship,3,3,161,2,medium,F,38,1521,Yes
B,Ship,3,1,232,4,medium,F,51,2899,Yes
C,Ship,2,5,156,2,low,M,2,1750,Yes
F,Ship,4,3,211,3,high,M,12,3922,Yes
D,Ship,4,5,251,2,medium,F,28,3561,Yes
F,Ship,3,1,225,4,low,M,29,3496,Yes
A,Ship,4,1,172,3,high,F,24,1066,Yes
B,Ship,5,1,162,3,medium,M,31,1435,Yes
C,Ship,2,3,234,4,low,M,44,3134,Yes
F,Ship,5,4,183,2,low,F,36,3819,Yes
D,Ship,3,4,266,2,medium,F,38,2741,Yes
F,Ship,5,3,257,2,low,F,61,3341,Yes
A,Ship,3,1,223,3,low,F,22,3795,Yes
B,Ship,4,2,234,3,medium,M,4,3261,Yes
C,Ship,4,2,227,4,medium,F,22,2460,Yes
F,Ship,5,4,149,3,medium,F,44,1811,Yes
D,Ship,3,5,137,4,high,F,62,1477,Yes
F,Ship,2,4,181,6,medium,F,16,3605,Yes
A,Ship,5,1,215,4,low,F,56,3905,Yes
B,Ship,4,2,269,5,low,F,45,2383,Yes
C,Ship,5,1,227,2,low,M,15,3798,Yes
F,Ship,5,5,139,4,medium,M,61,1265,Yes
D,Ship,3,5,137,2,medium,M,38,1647,Yes
F,Ship,3,1,174,2,low,M,44,1556,Yes
A,Ship,3,1,151,2,low,M,29,1328,Yes
B,Ship,5,1,210,3,low,F,9,2944,Yes
C,Ship,3,4,169,4,medium,F,32,1245,Yes
