ra,dec,run,camcol,field,class,redshift,plate,mjd
231.14458,38.933159,3965,2,13,STAR,-6.640831e-05,2936,54626
231.13916,39.054,3958,3,13,STAR,-0.0004753033,2936,54626
231.60637,39.383782,3958,4,14,STAR,-0.0008576852,2936,54626
231.5945,39.232929,3965,3,14,STAR,2.487993e-05,2936,54626
231.59486,39.072247,3965,3,15,STAR,-0.0002732045,2936,54626
231.53425,39.330947,3965,3,14,STAR,-0.0005695291,2936,54626
231.23674,39.110789,3958,3,13,STAR,-0.0002011716,2936,54626
231.1805,39.417495,3965,3,12,STAR,-0.0004692861,2936,54626
231.2875,39.428622,3965,3,12,STAR,-0.0001218777,2936,54626
230.99513,38.952703,3965,2,13,STAR,-0.001103961,2936,54626
231.05775,39.003893,3965,2,13,STAR,-0.0007383598,2936,54626
230.81773,39.028321,3965,2,12,STAR,-0.0007333895,2936,54626
231.04294,38.970423,3965,2,13,STAR,-7.616171e-05,2936,54626
230.6773,39.269842,2964,2,546,STAR,-0.0006438055,2936,54626
230.74668,39.059512,3965,2,11,STAR,-0.0001233327,2936,54626
231.07132,39.281509,3958,3,12,STAR,-0.0007890109,2936,54626
231.01692,39.448815,3965,3,11,STAR,-0.000421736,2936,54626
230.93411,39.48325,2964,3,547,STAR,-0.0008490612,2936,54626
231.07712,39.423948,3965,3,11,STAR,-0.0001544857,2936,54626
230.92485,39.258398,3958,3,11,STAR,5.730949e-06,2936,54626
230.76119,39.250504,3958,3,11,STAR,-8.266144e-05,2936,54626
230.54924,38.932891,3958,2,11,STAR,-0.0001797296,2936,54626
230.40823,39.276669,2964,2,545,STAR,-0.0005515981,2936,54626
230.60893,39.20552,2964,2,546,STAR,-0.0002841143,2936,54626
73.812503,-4.541955,7178,3,38,STAR,0.0005097716,3123,54741
73.757091,-3.7906751,6708,5,73,STAR,3.063021e-05,3123,54741
73.713547,-3.8961529,6708,5,72,STAR,-8.473949e-05,3123,54741
73.69725,-3.5702719,7178,5,41,STAR,5.237381e-05,3123,54741
73.772013,-3.7749849,6708,5,73,STAR,2.40886e-05,3123,54741
73.579875,-3.6579726,7178,5,40,STAR,0.0001744024,3123,54741
73.756213,-3.8398697,6708,5,72,STAR,-1.153098e-05,3123,54741
73.645038,-3.581058,7178,5,40,STAR,0.0001947582,3123,54741
73.790583,-3.799961,6708,5,73,STAR,0.0002090208,3123,54741
73.570442,-3.5441745,6708,6,72,STAR,0.0002193153,3123,54741
73.575141,-3.3653241,6708,6,73,STAR,0.000116875,3123,54741
73.747618,-3.5966981,7178,5,41,STAR,0.0001305443,3123,54741
73.596166,-3.3418155,6708,6,73,STAR,6.034396e-05,3123,54741
73.686912,-3.8001472,6708,5,72,STAR,-6.780623e-05,3123,54741
73.75163,-3.5079013,7178,5,41,STAR,-8.66788e-05,3123,54741
73.675581,-3.305612,6708,6,74,STAR,0.0001167305,3123,54741
73.613541,-3.3776241,6708,6,73,STAR,1.467849e-05,3123,54741
73.648006,-3.4145826,6708,6,73,STAR,0.0001495692,3123,54741
73.728304,-3.8752244,6708,5,72,STAR,0.0001381634,3123,54741
74.061444,-4.0459425,6708,4,74,STAR,2.45881e-05,3123,54741
74.225038,-4.3253277,7178,3,41,STAR,0.0002185314,3123,54741
74.119362,-4.3653927,7178,3,41,STAR,0.0001664292,3123,54741
74.194215,-4.3167115,7178,3,41,STAR,7.590494e-05,3123,54741
74.145186,-4.2325513,7178,3,41,STAR,0.0002174451,3123,54741
73.888502,-4.1671094,6708,4,72,STAR,0.0003381053,3123,54741
73.903666,-4.0647031,7178,4,40,STAR,0.0005267602,3123,54741
74.212524,-4.4228202,6708,3,73,STAR,-2.430995e-05,3123,54741
74.226052,-4.354696,7178,3,41,STAR,-0.0001490901,3123,54741
74.016396,-4.1496383,6708,4,73,STAR,0.0002314863,3123,54741
73.952411,-4.4009798,7178,3,40,STAR,0.0001359127,3123,54741
74.782329,-4.4548628,7178,2,44,GALAXY,0.0,3123,54741
74.187282,-4.4930067,6708,3,73,STAR,9.174414e-05,3123,54741
73.989125,-4.495553,7178,3,40,STAR,-0.0002150119,3123,54741
74.146221,-4.5704589,6708,3,72,STAR,0.0001740424,3123,54741
73.990653,-4.5235721,7178,3,39,STAR,-6.782048e-05,3123,54741
74.259029,-4.5135592,6708,3,73,STAR,0.0003627146,3123,54741
74.161645,-4.6009278,6708,3,72,STAR,0.000137566,3123,54741
74.057882,-4.5877994,6708,3,72,STAR,0.0001288892,3123,54741
73.981534,-4.5554655,6708,3,72,STAR,3.015084e-05,3123,54741
73.864324,-3.7348424,6708,5,73,STAR,0.000138981,3123,54741
73.918756,-3.5110438,7178,5,42,STAR,5.626009e-05,3123,54741
73.809108,-3.5930937,7178,5,41,STAR,-0.0001290645,3123,54741
73.91288,-3.8969894,7178,4,41,STAR,-3.339873e-06,3123,54741
73.772727,-3.4237899,6708,6,74,STAR,7.381141e-05,3123,54741
73.821799,-3.6414089,7178,5,41,STAR,-0.0001171294,3123,54741
73.967539,-3.799518,6708,5,74,STAR,0.0003112501,3123,54741
73.952869,-3.9511352,7178,4,41,STAR,0.0002786233,3123,54741
73.901839,-3.4452448,7178,5,42,STAR,0.0002963314,3123,54741
73.75088,-3.4867925,7178,5,41,STAR,1.668691e-05,3123,54741
73.913383,-3.8391268,6708,5,73,STAR,-0.0001022656,3123,54741
73.820494,-3.7829191,6708,5,73,STAR,0.0001375696,3123,54741
73.828056,-3.5423763,7178,5,42,STAR,9.106468e-05,3123,54741
73.830014,-3.4828704,7178,5,42,STAR,0.0002162578,3123,54741
73.980066,-3.5635233,7178,5,42,STAR,-9.269899e-05,3123,54741
73.810186,-3.8060559,6708,5,73,STAR,0.0002778008,3123,54741
73.823783,-3.7366559,6708,5,73,STAR,0.0001106883,3123,54741
73.879795,-3.7470243,6708,5,73,STAR,0.0001062126,3123,54741
73.897476,-3.8321217,6708,5,73,STAR,7.492981e-05,3123,54741
74.289128,-4.2302594,7178,3,42,STAR,2.183456e-05,3123,54741
74.312474,-4.2145136,7178,3,42,STAR,-5.340286e-05,3123,54741
74.321838,-4.2683809,7178,3,42,STAR,8.260594e-05,3123,54741
74.354861,-4.3238323,7178,3,42,STAR,-1.945177e-05,3123,54741
74.306857,-4.3188071,7178,3,42,STAR,0.0001590341,3123,54741
74.30089,-4.2938293,7178,3,42,STAR,0.0001406784,3123,54741
74.417608,-4.0974735,7178,3,43,STAR,3.693769e-05,3123,54741
74.321935,-4.4406115,6708,3,74,STAR,-2.536911e-05,3123,54741
74.352806,-4.2756601,7178,3,42,STAR,-0.0001377905,3123,54741
74.279575,-4.0968979,6708,4,75,STAR,-3.519751e-05,3123,54741
74.271311,-4.2330527,7178,3,42,STAR,8.036416e-05,3123,54741
74.390115,-4.5724894,7178,2,42,STAR,-0.0001128928,3123,54741
74.322385,-4.5030539,6708,3,74,STAR,0.0002142399,3123,54741
74.448252,-4.399285,6708,3,75,STAR,8.828929e-05,3123,54741
74.429756,-4.3821221,6708,3,75,STAR,0.0001462738,3123,54741
74.457834,-4.5818897,7178,2,42,STAR,0.0004177004,3123,54741
74.378618,-4.4777324,6708,3,74,STAR,5.650647e-05,3123,54741
74.272716,-4.5787883,6708,3,73,STAR,-0.0001360813,3123,54741
74.279642,-3.6166697,6708,5,76,STAR,0.0001085216,3123,54741
74.323106,-3.9184236,6708,4,76,STAR,7.099699e-05,3123,54741
74.069933,-3.4671658,7178,5,43,STAR,4.954452e-05,3123,54741
74.327701,-3.6777186,7178,4,44,STAR,0.001490584,3123,54741
74.192603,-3.492652,6708,5,76,STAR,-0.0001443909,3123,54741
74.443654,-3.7996797,7178,4,44,STAR,8.95864e-05,3123,54741
74.138614,-3.6731506,6708,5,75,STAR,2.379277e-05,3123,54741
74.242066,-3.8247896,7178,4,43,STAR,0.0002501827,3123,54741
74.391064,-3.6519462,7178,4,45,STAR,0.0003456149,3123,54741
74.219896,-3.7286147,7178,4,43,STAR,0.0002556682,3123,54741
74.371126,-3.9418549,6708,4,76,STAR,0.0001141277,3123,54741
74.383896,-4.0228964,6708,4,76,STAR,0.0002749752,3123,54741
74.532935,-3.8912492,6708,4,77,STAR,2.495523e-05,3123,54741
74.212978,-3.4922025,6708,5,76,STAR,0.0002284692,3123,54741
74.322573,-3.7755231,7178,4,44,STAR,-0.0003148115,3123,54741
74.158452,-3.9425689,7178,4,42,STAR,3.906924e-05,3123,54741
74.328433,-3.7596244,7178,4,44,STAR,0.0003214381,3123,54741
74.550429,-3.9456137,6708,4,77,STAR,9.137997e-05,3123,54741
74.282095,-4.0292991,6708,4,75,STAR,3.512431e-05,3123,54741
74.496229,-4.1508584,7178,3,44,STAR,-0.0002455813,3123,54741
74.652118,-4.1809444,6708,3,77,STAR,-2.657442e-05,3123,54741
74.579918,-4.1553332,7178,3,44,STAR,1.003948e-05,3123,54741
74.586959,-4.3456824,6708,3,76,STAR,-9.873094e-06,3123,54741
74.494307,-4.2555883,7178,3,43,STAR,-0.0003878277,3123,54741
74.429968,-4.1132223,7178,3,43,STAR,0.0002112422,3123,54741
74.527914,-4.2430803,6708,3,76,STAR,2.331511e-06,3123,54741
74.737717,-4.3307073,6708,3,77,STAR,0.0001767472,3123,54741
74.457859,-4.1873568,7178,3,43,STAR,0.0002079161,3123,54741
74.516566,-3.9783743,6708,4,76,STAR,3.835059e-05,3123,54741
74.768079,-4.5538348,7178,2,44,STAR,-2.649694e-05,3123,54741
74.56023,-4.5513532,7178,2,43,STAR,-7.866295e-06,3123,54741
74.601537,-4.2895206,6708,3,76,STAR,8.941653e-05,3123,54741
74.756815,-4.4762525,7178,2,44,STAR,0.0003970432,3123,54741
74.541441,-4.6675747,7178,2,42,STAR,4.715123e-05,3123,54741
74.52615,-4.3326678,6708,3,75,STAR,0.0003117834,3123,54741
74.541306,-4.5701566,7178,2,42,STAR,-0.0001463452,3123,54741
74.54836,-4.5886124,7178,2,42,STAR,0.0001453643,3123,54741
74.769842,-4.8414914,7178,1,43,STAR,6.827812e-05,3123,54741
40.323287,-0.54762595,2700,2,135,STAR,0.0007940721,3126,54804
40.163757,-0.29817662,4263,3,384,STAR,-5.919384e-05,3126,54804
40.11497,-0.17673676,4874,3,689,STAR,-0.0001014983,3126,54804
40.241626,-0.34228327,4263,3,384,STAR,-0.0001331734,3126,54804
40.212833,-0.29616125,4263,3,384,STAR,-0.0001840584,3126,54804
37.520942,-0.045872014,4874,3,671,GALAXY,0.0,3126,54804
39.944512,-0.85102371,2820,1,133,STAR,0.0005303074,3126,54804
39.884674,-1.1478604,3388,1,586,STAR,0.0003223353,3126,54804
304.56349,59.940805,6162,4,278,STAR,-0.0001849728,2554,54263
303.14639,58.611098,6182,1,28,STAR,3.812866e-05,2554,54263
303.03013,58.810122,6162,1,277,STAR,-0.0001112929,2554,54263
303.1161,59.23245,6169,2,90,STAR,-0.0001601227,2554,54263
303.16766,58.732812,6162,1,278,STAR,-0.0006796999,2554,54263
303.24237,58.545822,6182,1,28,STAR,2.248478e-06,2554,54263
303.27353,58.618571,6182,1,28,STAR,-0.0001771672,2554,54263
303.09374,58.834335,6162,1,277,STAR,-0.000135988,2554,54263
303.06293,58.691286,6182,1,27,STAR,-0.0003430815,2554,54263
300.14124,60.085106,6162,2,265,GALAXY,0.0,2554,54263
303.29834,59.205108,6162,2,277,STAR,-6.990322e-05,2554,54263
303.16646,58.851308,6162,1,278,STAR,-0.0002726153,2554,54263
303.02644,58.994994,6162,1,277,STAR,-4.442837e-05,2554,54263
303.10015,59.327046,6162,2,276,STAR,-9.074325e-05,2554,54263
303.09061,59.032549,6169,2,90,STAR,-0.0001343918,2554,54263
303.21734,59.364445,6162,2,276,STAR,1.221114e-06,2554,54263
303.15958,59.363814,6162,2,276,STAR,-3.67955e-05,2554,54263
303.30865,58.949969,6169,2,91,STAR,-0.0001943506,2554,54263
303.77875,60.085402,6162,4,275,STAR,-0.000112109,2554,54263
303.84716,59.776477,6182,4,26,STAR,-0.0001708379,2554,54263
303.83232,59.646343,6162,3,277,STAR,-0.0003107344,2554,54263
303.9567,59.587887,6162,3,277,STAR,-0.0003076383,2554,54263
303.76897,60.038715,6162,4,275,STAR,-0.0002204241,2554,54263
303.67403,59.918895,6182,4,25,STAR,-0.000300061,2554,54263
303.76148,59.852329,6182,4,25,STAR,-7.110919e-05,2554,54263
